"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","42/592","288/15125",1.42744429647886e-13,2.20691135844203e-10,2.05584436651919e-10,"Egfl6/Col18a1/Col1a1/Fkbp10/Col5a3/Matn3/Papln/Has2/Col2a1/Smoc2/Col5a2/Col3a1/Dpt/Col5a1/Postn/Ptx3/Col11a1/Col24a1/Col15a1/Mmp23/Col1a2/Col4a5/Mmp2/Mmp15/Has3/Loxl2/Abi3bp/Olfml2b/Ltbp4/Col16a1/Mfap4/Adamts3/Olfml2a/Adamts16/Col8a2/Adamts14/Mkx/Col4a4/Col8a1/Serpinh1/Col22a1/Col4a3",42
"GO:0045229","GO:0045229","external encapsulating structure organization","42/592","288/15125",1.42744429647886e-13,2.20691135844203e-10,2.05584436651919e-10,"Egfl6/Col18a1/Col1a1/Fkbp10/Col5a3/Matn3/Papln/Has2/Col2a1/Smoc2/Col5a2/Col3a1/Dpt/Col5a1/Postn/Ptx3/Col11a1/Col24a1/Col15a1/Mmp23/Col1a2/Col4a5/Mmp2/Mmp15/Has3/Loxl2/Abi3bp/Olfml2b/Ltbp4/Col16a1/Mfap4/Adamts3/Olfml2a/Adamts16/Col8a2/Adamts14/Mkx/Col4a4/Col8a1/Serpinh1/Col22a1/Col4a3",42
"GO:0043062","GO:0043062","extracellular structure organization","42/592","289/15125",1.61010069925246e-13,2.20691135844203e-10,2.05584436651919e-10,"Egfl6/Col18a1/Col1a1/Fkbp10/Col5a3/Matn3/Papln/Has2/Col2a1/Smoc2/Col5a2/Col3a1/Dpt/Col5a1/Postn/Ptx3/Col11a1/Col24a1/Col15a1/Mmp23/Col1a2/Col4a5/Mmp2/Mmp15/Has3/Loxl2/Abi3bp/Olfml2b/Ltbp4/Col16a1/Mfap4/Adamts3/Olfml2a/Adamts16/Col8a2/Adamts14/Mkx/Col4a4/Col8a1/Serpinh1/Col22a1/Col4a3",42
"GO:0009060","GO:0009060","aerobic respiration","27/592","171/15125",5.7814211812037e-10,5.9433009742774e-07,5.53647149431586e-07,"Cox5a/Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Sdhb/Mdh2/Pdhb/Ndufs4/Ppif/Ndufb9/Cyc1/Atp5pf/Atp5f1a/Sirt3/Uqcrc1/Ndufaf1/Ndufb5/Ndufab1/Uqcrc2/Idh3a/Ndufc1/Afg1l/Uqcrq/Cox5b/Cycs",27
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","37/592","308/15125",1.24196450630375e-09,1.02139160998421e-06,9.51475544934601e-07,"Cox5a/Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Prkag3/Sod2/Sdhb/Mdh2/Igf1/Esrrb/Pdhb/Ndufs4/Ppif/Ndufb9/Cyc1/Atp5pf/Pcdh12/Atp5f1a/Sirt3/Uqcrc1/Pgm1/Sdhaf4/Ndufaf1/Ndufb5/Ndufab1/Uqcrc2/Slc37a4/Idh3a/Chchd4/Ndufc1/Afg1l/Uqcrq/Lep/Cox5b/Cycs",37
"GO:0045333","GO:0045333","cellular respiration","30/592","221/15125",2.69142601083269e-09,1.844523959424e-06,1.71826302691581e-06,"Cox5a/Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Sod2/Sdhb/Mdh2/Pdhb/Ndufs4/Ppif/Ndufb9/Cyc1/Atp5pf/Atp5f1a/Sirt3/Uqcrc1/Sdhaf4/Ndufaf1/Ndufb5/Ndufab1/Uqcrc2/Idh3a/Chchd4/Ndufc1/Afg1l/Uqcrq/Cox5b/Cycs",30
"GO:0006119","GO:0006119","oxidative phosphorylation","22/592","127/15125",3.90706375531412e-09,2.00495000026819e-06,1.86770762107719e-06,"Cox5a/Sdhd/Ndufa9/Ndufa11/Ndufb2/Sdhb/Ndufs4/Ppif/Ndufb9/Cyc1/Atp5pf/Atp5f1a/Uqcrc1/Ndufaf1/Ndufb5/Ndufab1/Uqcrc2/Ndufc1/Afg1l/Uqcrq/Cox5b/Cycs",22
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","35/592","293/15125",4.07791233607177e-09,2.00495000026819e-06,1.86770762107719e-06,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Cox11/Dcakd/Pdhb/Ndufs4/Entpd4b/Ndufb9/Ppara/Atp5pf/Gpam/Atp5f1a/Mpc2/Atp1b1/Ndufb5/Ppcs/Ndufab1/Adcy7/Nudt7/Ldhd/Pde4a/Acot11/Ndufc1/Nme1/Adk/Nt5c1a/Hmgcs1/Entpd4",35
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","44/592","427/15125",4.38826605117064e-09,2.00495000026819e-06,1.86770762107719e-06,"Cox5a/Dlat/Sdhd/Ndufa9/Taco1/Ndufa11/Ndufb2/Prkag3/Sod2/Sdhb/Mdh2/Igf1/Esrrb/Pdhb/Ndufs4/Ppif/Oxct1/Ndufb9/Ppara/Cyc1/Atp5pf/Pcdh12/Atp5f1a/Sirt3/Uqcrc1/Pgm1/Sdhaf4/Pfkfb2/Ndufaf1/Ndufb5/Ndufab1/Uqcrc2/Fdx1/Slc37a4/Idh3a/Pkm/Chchd4/Ndufc1/Afg1l/Uqcrq/Lep/Eno3/Cox5b/Cycs",44
"GO:0009152","GO:0009152","purine ribonucleotide biosynthetic process","26/592","178/15125",6.59858979900609e-09,2.7133401253513e-06,2.52760718721928e-06,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Cox11/Dcakd/Pdhb/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Mpc2/Ndufb5/Ppcs/Ndufab1/Adcy7/Ldhd/Ndufc1/Nme1/Adk",26
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process","19/592","100/15125",9.34977055275476e-09,3.49511422844796e-06,3.25586746808369e-06,"Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Atp5mc3/Cox11/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Ndufb5/Ndufab1/Ldhd/Ndufc1/Nme1/Adk",19
"GO:0009259","GO:0009259","ribonucleotide metabolic process","35/592","311/15125",1.92462549549744e-08,6.5950500312379e-06,6.14360717378526e-06,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Cox11/Dcakd/Pdhb/Ndufs4/Entpd4b/Ndufb9/Ppara/Atp5pf/Gpam/Atp5f1a/Mpc2/Atp1b1/Ndufb5/Ppcs/Ndufab1/Adcy7/Nudt7/Ldhd/Pde4a/Acot11/Ndufc1/Nme1/Adk/Nt5c1a/Hmgcs1/Entpd4",35
"GO:0009260","GO:0009260","ribonucleotide biosynthetic process","26/592","190/15125",2.62913781617843e-08,8.31616515394286e-06,7.74690891746828e-06,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Cox11/Dcakd/Pdhb/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Mpc2/Ndufb5/Ppcs/Ndufab1/Adcy7/Ldhd/Ndufc1/Nme1/Adk",26
"GO:0019693","GO:0019693","ribose phosphate metabolic process","35/592","318/15125",3.39278037180007e-08,9.96508063488706e-06,9.28295321276726e-06,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Cox11/Dcakd/Pdhb/Ndufs4/Entpd4b/Ndufb9/Ppara/Atp5pf/Gpam/Atp5f1a/Mpc2/Atp1b1/Ndufb5/Ppcs/Ndufab1/Adcy7/Nudt7/Ldhd/Pde4a/Acot11/Ndufc1/Nme1/Adk/Nt5c1a/Hmgcs1/Entpd4",35
"GO:0006754","GO:0006754","ATP biosynthetic process","17/592","88/15125",4.35728866539942e-08,1.08140790156201e-05,1.00738361503793e-05,"Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Atp5mc3/Cox11/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Ndufb5/Ndufab1/Ldhd/Ndufc1",17
"GO:0030199","GO:0030199","collagen fibril organization","14/592","59/15125",4.43890454159198e-08,1.08140790156201e-05,1.00738361503793e-05,"Col18a1/Col1a1/Fkbp10/Col2a1/Col5a2/Col3a1/Dpt/Col5a1/Col11a1/Col1a2/Loxl2/Adamts14/Mkx/Serpinh1",14
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","18/592","99/15125",4.69757061170422e-08,1.08140790156201e-05,1.00738361503793e-05,"Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Atp5mc3/Cox11/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Ndufb5/Ndufab1/Ldhd/Ndufc1/Nme1",18
"GO:0009142","GO:0009142","nucleoside triphosphate biosynthetic process","19/592","110/15125",4.7337894523629e-08,1.08140790156201e-05,1.00738361503793e-05,"Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Atp5mc3/Cox11/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Ndufb5/Ndufab1/Ldhd/Ndufc1/Nme1/Adk",19
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process","26/592","196/15125",5.01276560619079e-08,1.08486800908719e-05,1.01060687207359e-05,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Cox11/Dcakd/Pdhb/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Mpc2/Ndufb5/Ppcs/Ndufab1/Adcy7/Ldhd/Ndufc1/Nme1/Adk",26
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","14/592","60/15125",5.5842963496906e-08,1.14813132949639e-05,1.06953970613285e-05,"Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Atp5mc3/Ndufs4/Ndufb9/Atp5pf/Atp5f1a/Ndufb5/Ndufab1/Ndufc1",14
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process","18/592","104/15125",1.033632986593e-07,2.02395182898591e-05,1.88540874095836e-05,"Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Atp5mc3/Cox11/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Ndufb5/Ndufab1/Ldhd/Ndufc1/Nme1",18
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process","26/592","206/15125",1.38233641039928e-07,2.42000045042216e-05,2.25434713267619e-05,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Cox11/Dcakd/Pdhb/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Mpc2/Ndufb5/Ppcs/Ndufab1/Adcy7/Ldhd/Ndufc1/Nme1/Adk",26
"GO:0006163","GO:0006163","purine nucleotide metabolic process","38/592","383/15125",1.38244468459703e-07,2.42000045042216e-05,2.25434713267619e-05,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Mdh2/Cox11/Dcakd/Pdhb/Ndufs4/Entpd4b/Ndufb9/Ppara/Atp5pf/Gpam/Atp5f1a/Mpc2/Atp1b1/Ndufb5/Ppcs/Ndufab1/Adcy7/Nudt7/Ldhd/Fdx1/Pde4a/Idh3a/Acot11/Ndufc1/Nme1/Adk/Nt5c1a/Hmgcs1/Entpd4",38
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","17/592","95/15125",1.41245162476002e-07,2.42000045042216e-05,2.25434713267619e-05,"Ndufa9/Taco1/Ndufa11/Ndufb2/Uqcc1/Ndufs4/Ndufb9/Coa5/Sdhaf4/Ndufaf1/Ndufb5/Ndufab1/Chchd4/Ndufc1/Ttc19/Sdhaf3/Uqcc5",17
"GO:0009141","GO:0009141","nucleoside triphosphate metabolic process","23/592","167/15125",1.48672457043028e-07,2.44536457344372e-05,2.27797503654559e-05,"Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Atp5mc3/Cox11/Ndufs4/Entpd4b/Ndufb9/Ppara/Atp5pf/Atp5f1a/Atp1b1/Dut/Ndufb5/Ndufab1/Ldhd/Ndufc1/Nme1/Adk/Entpd4",23
"GO:0009117","GO:0009117","nucleotide metabolic process","41/592","434/15125",1.68695082664268e-07,2.66797761505949e-05,2.48534982111445e-05,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Nmrk2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Mdh2/Cox11/Dcakd/Pdhb/Ndufs4/Entpd4b/Ndufb9/Ppara/Atp5pf/Gpam/Atp5f1a/Mpc2/Atp1b1/Dut/Ndufb5/Ppcs/Ndufab1/Adcy7/Nudt7/Ldhd/Fdx1/Pde4a/Idh3a/Nt5m/Acot11/Ndufc1/Nme1/Adk/Nt5c1a/Hmgcs1/Entpd4",41
"GO:0009165","GO:0009165","nucleotide biosynthetic process","28/592","240/15125",2.43685884944167e-07,3.71124577366821e-05,3.45720442616696e-05,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Nmrk2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Cox11/Dcakd/Pdhb/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Mpc2/Dut/Ndufb5/Ppcs/Ndufab1/Adcy7/Ldhd/Ndufc1/Nme1/Adk",28
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process","41/592","441/15125",2.59444170394466e-07,3.76839029678007e-05,3.51043730544303e-05,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Nmrk2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Mdh2/Cox11/Dcakd/Pdhb/Ndufs4/Entpd4b/Ndufb9/Ppara/Atp5pf/Gpam/Atp5f1a/Mpc2/Atp1b1/Dut/Ndufb5/Ppcs/Ndufab1/Adcy7/Nudt7/Ldhd/Fdx1/Pde4a/Idh3a/Nt5m/Acot11/Ndufc1/Nme1/Adk/Nt5c1a/Hmgcs1/Entpd4",41
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","28/592","241/15125",2.65766825405209e-07,3.76839029678007e-05,3.51043730544303e-05,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Nmrk2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Cox11/Dcakd/Pdhb/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Mpc2/Dut/Ndufb5/Ppcs/Ndufab1/Adcy7/Ldhd/Ndufc1/Nme1/Adk",28
"GO:0072522","GO:0072522","purine-containing compound biosynthetic process","26/592","214/15125",2.95857656334836e-07,4.05522227616283e-05,3.77763512772796e-05,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Cox11/Dcakd/Pdhb/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Mpc2/Ndufb5/Ppcs/Ndufab1/Adcy7/Ldhd/Ndufc1/Nme1/Adk",26
"GO:0072521","GO:0072521","purine-containing compound metabolic process","39/592","412/15125",3.22572318082966e-07,4.27876571599083e-05,3.98587662310328e-05,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Mdh2/Gamt/Cox11/Dcakd/Pdhb/Ndufs4/Entpd4b/Ndufb9/Ppara/Atp5pf/Gpam/Atp5f1a/Mpc2/Atp1b1/Ndufb5/Ppcs/Ndufab1/Adcy7/Nudt7/Ldhd/Fdx1/Pde4a/Idh3a/Acot11/Ndufc1/Nme1/Adk/Nt5c1a/Hmgcs1/Entpd4",39
"GO:0009199","GO:0009199","ribonucleoside triphosphate metabolic process","21/592","150/15125",3.90494987428294e-07,5.01786058845358e-05,4.67437914227488e-05,"Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Atp5mc3/Cox11/Ndufs4/Entpd4b/Ndufb9/Ppara/Atp5pf/Atp5f1a/Atp1b1/Ndufb5/Ndufab1/Ldhd/Ndufc1/Nme1/Entpd4",21
"GO:0019646","GO:0019646","aerobic electron transport chain","12/592","53/15125",7.09331987905573e-07,8.83870646747792e-05,8.23368135243502e-05,"Cox5a/Sdhd/Sdhb/Ndufb9/Cyc1/Uqcrc1/Ndufaf1/Uqcrc2/Afg1l/Uqcrq/Cox5b/Cycs",12
"GO:0046034","GO:0046034","ATP metabolic process","18/592","120/15125",9.44262259326184e-07,0.000114200188539684,0.000106382983333993,"Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Atp5mc3/Cox11/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Atp1b1/Ndufb5/Ndufab1/Ldhd/Ndufc1",18
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","12/592","56/15125",1.33350282188005e-06,0.000156667531530594,0.000145943361468316,"Sdhd/Ndufa9/Ndufa11/Ndufb2/Sdhb/Ndufs4/Ndufb9/Atp5pf/Atp5f1a/Ndufb5/Ndufab1/Ndufc1",12
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","42/592","493/15125",1.88125885832553e-06,0.000214881567373183,0.000200172543434111,"Dlat/Sdhd/Ndufa9/Ndufa11/Ndufb2/Nmrk2/Atp5mc1/Sdhb/Pdhx/Atp5mc3/Mdh2/Gamt/Cox11/Dcakd/Pdhb/Ndufs4/Entpd4b/Ndufb9/Ppara/Atp5pf/Gpam/Atp5f1a/Mpc2/Atp1b1/Dut/Ndufb5/Ppcs/Ndufab1/Adcy7/Nudt7/Ldhd/Fdx1/Pde4a/Idh3a/Nt5m/Acot11/Ndufc1/Nme1/Adk/Nt5c1a/Hmgcs1/Entpd4",42
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","20/592","152/15125",1.99302319803352e-06,0.000221494902440914,0.000206333184001251,"Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Atp5mc3/Cox11/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Atp1b1/Ndufb5/Ndufab1/Ldhd/Ndufc1/Nme1/Adk",20
"GO:0001501","GO:0001501","skeletal system development","42/592","496/15125",2.19791616919369e-06,0.000237837665466433,0.000221557255947253,"Wnt9a/Col18a1/Col1a1/Ccn4/Mef2c/Scube2/Sparc/Igf1/Matn3/Map2k6/Rflnb/Wnt5a/Has2/Col2a1/Fbn2/Esrra/Gdf11/Col5a2/Col3a1/Itgb6/Frzb/Fbn1/Schip1/Col11a1/Alpl/Col1a2/Mmp2/Ppargc1b/Loxl2/Mycn/Ccn3/Chad/Pthlh/Ostn/Tmem119/Frem1/Lep/Mkx/Slc38a10/Kdr/Hhip/Serpinh1",42
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","19/592","143/15125",3.09265892131687e-06,0.000326077268832178,0.000303756702150393,"Sdhd/Ndufa9/Ndufa11/Ndufb2/Atp5mc1/Sdhb/Atp5mc3/Cox11/Ndufs4/Ndufb9/Ppara/Atp5pf/Atp5f1a/Atp1b1/Ndufb5/Ndufab1/Ldhd/Ndufc1/Nme1",19
"GO:0022900","GO:0022900","electron transport chain","15/592","98/15125",5.86085090336512e-06,0.000602495472865934,0.000561253590456465,"Cox5a/Sdhd/Sod2/Sdhb/Ndufs4/Ndufb9/Cyc1/Uqcrc1/Ndufaf1/Uqcrc2/Fdx1/Afg1l/Uqcrq/Cox5b/Cycs",15
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","12/592","65/15125",6.97305920035845e-06,0.000682695700758904,0.000635963970679308,"Cox5a/Sdhd/Sdhb/Ndufb9/Cyc1/Uqcrc1/Ndufaf1/Uqcrc2/Afg1l/Uqcrq/Cox5b/Cycs",12
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","12/592","65/15125",6.97305920035845e-06,0.000682695700758904,0.000635963970679308,"Cox5a/Sdhd/Sdhb/Ndufb9/Cyc1/Uqcrc1/Ndufaf1/Uqcrc2/Afg1l/Uqcrq/Cox5b/Cycs",12
"GO:0022904","GO:0022904","respiratory electron transport chain","14/592","88/15125",7.54160844546525e-06,0.00072118823087798,0.000671821618924065,"Cox5a/Sdhd/Sod2/Sdhb/Ndufs4/Ndufb9/Cyc1/Uqcrc1/Ndufaf1/Uqcrc2/Afg1l/Uqcrq/Cox5b/Cycs",14
"GO:0060348","GO:0060348","bone development","23/592","212/15125",9.80635252941414e-06,0.000916448218203431,0.000853715714223399,"Col1a1/Ccn4/Mef2c/Scube2/Sparc/Igf1/Map2k6/Rflnb/Has2/Col2a1/Col3a1/Itgb6/Fbn1/Alpl/Chad/Pthlh/Ostn/Tmem119/Frem1/Lep/Slc38a10/Kdr/Serpinh1",23
