"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","39/593","134/15026",1.50415825261733e-23,1.06644820110569e-20,9.76911201963045e-21,"Col6a1/Col18a1/Col1a1/Col5a3/Sparc/Col6a2/Papln/Aspn/Thbs4/Col2a1/Fbn2/Col5a2/Col3a1/Dpt/Col5a1/Fbn1/Postn/Col11a1/Col24a1/Col15a1/Tnc/Col1a2/Mfap5/Col4a5/Col12a1/Emid1/Fras1/Abi3bp/Lum/Tecta/Ltbp4/Col16a1/Mfap4/Col6a3/Col8a2/Col4a4/Col8a1/Col22a1/Col4a3",39
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","22/593","43/15026",4.32465752858846e-20,1.53309109388461e-17,1.40437562902057e-17,"Col6a1/Col18a1/Col1a1/Col5a3/Col6a2/Col2a1/Col5a2/Col3a1/Col5a1/Col11a1/Col24a1/Col15a1/Col1a2/Col4a5/Col12a1/Col16a1/Col6a3/Col8a2/Col4a4/Col8a1/Col22a1/Col4a3",22
"GO:0005179","GO:0005179","hormone activity","13/593","50/15026",4.5707471152595e-08,1.080219901573e-05,9.89526656180741e-06,"Fndc5/Metrn/Crhr2/Igf1/Fbn2/Ecrg4/Fbn1/Edn3/Apln/Inhba/Pthlh/Ostn/Lep",13
"GO:0030545","GO:0030545","signaling receptor regulator activity","35/593","329/15026",9.70729704634516e-08,1.72061840146468e-05,1.57615849410394e-05,"Wnt9a/Fndc5/Metrn/Crhr2/Clec11a/Igf1/Thbs4/Wnt5a/Lynx1/Hbegf/Fbn2/Vegfb/Gdf11/Ecrg4/Dut/Fbn1/Edn3/Cxcl9/Wnt5b/Dkk3/Igsf1/Apln/Ccn3/Sema6c/Cdnf/Inhba/Cdc42ep2/Tafa4/Pthlh/Grem2/Il17d/Ostn/Tafa3/Lep/Ntf5",35
"GO:0048018","GO:0048018","receptor ligand activity","31/593","292/15026",5.52060415748765e-07,7.82821669531749e-05,7.17097424246291e-05,"Wnt9a/Fndc5/Metrn/Crhr2/Clec11a/Igf1/Thbs4/Wnt5a/Hbegf/Fbn2/Vegfb/Gdf11/Ecrg4/Fbn1/Edn3/Cxcl9/Wnt5b/Apln/Ccn3/Sema6c/Cdnf/Inhba/Cdc42ep2/Tafa4/Pthlh/Grem2/Il17d/Ostn/Tafa3/Lep/Ntf5",31
"GO:0030546","GO:0030546","signaling receptor activator activity","31/593","297/15026",7.98941428494783e-07,9.44082454671336e-05,8.6481905505488e-05,"Wnt9a/Fndc5/Metrn/Crhr2/Clec11a/Igf1/Thbs4/Wnt5a/Hbegf/Fbn2/Vegfb/Gdf11/Ecrg4/Fbn1/Edn3/Cxcl9/Wnt5b/Apln/Ccn3/Sema6c/Cdnf/Inhba/Cdc42ep2/Tafa4/Pthlh/Grem2/Il17d/Ostn/Tafa3/Lep/Ntf5",31
"GO:0008201","GO:0008201","heparin binding","19/593","138/15026",2.03001875279056e-06,0.000205611899389787,0.00018834910834162,"Apoh/Col5a3/Ccn4/Ptprs/Thbs4/Fstl1/Smoc2/Hbegf/Vegfb/Col5a1/Fbn1/Fbln7/Postn/Col11a1/Pcsk6/Abi3bp/Ccn3/Grem2/Lrtm2",19
"GO:0048407","GO:0048407","platelet-derived growth factor binding","6/593","12/15026",2.77792938018563e-06,0.000246193991318951,0.000225524003628228,"Col6a1/Col1a1/Col2a1/Col3a1/Col5a1/Col1a2",6
"GO:0015318","GO:0015318","inorganic molecular entity transmembrane transporter activity","40/593","480/15026",6.88948187238746e-06,0.000542738071946968,0.000497170797106791,"Cox5a/Gabrg1/Gria3/Atp5mc1/Atp1a4/Slc38a3/Slc47a1/Slc25a11/Atp5mc3/Scn1b/Best3/Cyc1/Tfrc/Atp5pf/Asic1/Slc16a3/Atp5f1a/Slc9a2/Slc45a3/Atp1b1/Slc4a10/Slc30a2/Slc41a3/Slc37a4/Clca2/Cnnm4/Kcnk2/Kcna7/Kcnh2/Lrrc52/Cacna2d4/Kcng4/Kcnb1/Kcnc1/Kcnh7/Ncs1/Kcnc3/Clca4a/Lrrc55/Slc5a3",40
"GO:0022836","GO:0022836","gated channel activity","24/593","236/15026",2.15409091677618e-05,0.00152725045999431,0.00139902536384305,"Gabrg1/Gria3/Atp5mc1/Atp5mc3/Scn1b/Asic1/Cnga3/Chrna4/Clca2/Kcnk2/Kcna7/Kcnh2/Lrrc52/Cacna2d4/Tmc7/Kcng4/Kcnb1/Tmem150c/Kcnc1/Kcnh7/Ncs1/Kcnc3/Clca4a/Lrrc55",24
