"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009060","GO:0009060","aerobic respiration","118/2958","174/17883",1.0307739126157e-51,6.21144359742221e-48,5.80054456509846e-48,"Cox5a/Dlat/Sdhd/Ndufa9/Atp5pb/Idh3g/Ndufa11/Ndufb2/Atp5f1d/Dlst/Mlxipl/Ndufs3/Cs/Sdhb/Cox4i2/Ndufs2/Ndufa2/Macroh2a1/Atp5f1e/Ndufa1/Cox7c/Mdh2/Ndufa12/Ndufs7/Uqcr11/Mdh1/Ogdh/Dld/Uqcrb/Sdha/Ndufs6/Pdhb/Ndufs4/Ppif/Dnajc15/Sucla2/Ndufb9/Adsl/Ndufa6/Aco2/Cyc1/Ndufb4/Atp5pf/Atp5po/Ndufa5/Ndufv3/Ndufv2/Msh2/Uqcc2/Cox7a2l/Sdhaf2/Ndufb8/Atp5f1b/Atp5f1a/Sirt3/Cox8b/Uqcrc1/Atp5f1c/Ndufs1/Ndufb3/Ndufa10/Fh1/Ndufa8/Ndufaf1/Idh3b/Mtfr1/Ndufb5/Aco1/Ndufs5/Slc25a33/Nipsnap2/Ndufc2/Coq7/Nupr1/Ndufab1/Uqcrc2/Ndufb11/Cox7b/Pdha1/Abcd1/Coq9/Cox4i1/Idh3a/Cox7a2/Ndufb7/Atp5pd/Ndufa3/Ndufa13/Ndufc1/Ndufv1/Afg1l/Uqcrfs1/Atp5mf/Tmem135/Ndufb10/Ccnb1/Cox6a1/Cox10/Uqcrq/Mtfr1l/Tefm/Chchd10/Atp5me/Coa6/Suclg1/Antkmt/Sdhc/Uqcr10/Ndufs8/Mrps36/Cox5b/Cycs/Uqcrh/Chchd2/Ndufb6/Uqcc3/Cox7a1/Ndufb1",118
"GO:0006119","GO:0006119","oxidative phosphorylation","96/2958","129/17883",4.89714374351164e-48,1.47550940992006e-44,1.37790160277964e-44,"Cox5a/Sdhd/Ndufa9/Atp5pb/Ndufa11/Ndufb2/Atp5f1d/Mlxipl/Ndufs3/Sdhb/Cox4i2/Ndufs2/Ndufa2/Macroh2a1/Atp5f1e/Ndufa1/Cox7c/Ndufa12/Ndufs7/Uqcr11/Dld/Uqcrb/Sdha/Ndufs6/Ndufs4/Ppif/Dnajc15/Ndufb9/Ndufa6/Cyc1/Ndufb4/Atp5pf/Atp5po/Ndufa5/Ndufv3/Ndufv2/Msh2/Uqcc2/Cox7a2l/Sdhaf2/Ndufb8/Atp5f1b/Atp5f1a/Cox8b/Uqcrc1/Atp5f1c/Ndufs1/Ndufb3/Ndufa10/Ndufa8/Ndufaf1/Ndufb5/Ndufs5/Slc25a33/Nipsnap2/Ndufc2/Coq7/Nupr1/Ndufab1/Uqcrc2/Ndufb11/Cox7b/Abcd1/Coq9/Cox4i1/Cox7a2/Ndufb7/Atp5pd/Ndufa3/Ndufa13/Ndufc1/Ndufv1/Afg1l/Uqcrfs1/Atp5mf/Tmem135/Ndufb10/Ccnb1/Cox6a1/Uqcrq/Tefm/Chchd10/Atp5me/Coa6/Antkmt/Sdhc/Uqcr10/Ndufs8/Cox5b/Cycs/Uqcrh/Chchd2/Ndufb6/Uqcc3/Cox7a1/Ndufb1",96
"GO:0045333","GO:0045333","cellular respiration","133/2958","228/17883",7.00195085578695e-47,1.40645852856574e-43,1.31341857105393e-43,"Cox5a/Dlat/Sdhd/Ndufa9/Atp5pb/Idh3g/Ndufa11/Ndufb2/Atp5f1d/Etfb/Dlst/Mlxipl/Ndufs3/Cs/Sod2/Sdhb/Cox4i2/Ndufs2/Ndufa2/Macroh2a1/Atp5f1e/Ndufa1/Cox7c/Mdh2/Ndufa12/Ndufs7/Uqcr11/Lyrm7/Mdh1/Ogdh/Pnpt1/Dld/Uqcrb/Sdha/Ndufs6/Pdhb/Ndufs4/Ppif/Dnajc15/Sucla2/Ndufb9/Adsl/Ndufa6/Aco2/Cyc1/Ndufb4/Atp5pf/Atp5po/Gpd1/Ndufa5/Ndufv3/Ndufv2/Msh2/Uqcc2/Cox7a2l/Sdhaf2/Ndufb8/Atp5f1b/Atp5f1a/Sirt3/Cox8b/Uqcrc1/Atp5f1c/Ndufs1/Coq10b/Ndufb3/Sdhaf4/Ndufa10/Fh1/Ndufa8/Slc25a12/Ndufaf1/Idh3b/Mtfr1/Ndufb5/Aco1/Ndufs5/Slc25a33/Mfn2/Nipsnap2/Ndufc2/Coq7/Nupr1/Ndufab1/Uqcrc2/Ndufb11/Cox7b/Pdha1/Abcd1/Coq9/Cox4i1/Idh3a/Etfa/Cox7a2/Ndufb7/Chchd4/Atp5pd/Ndufa3/Ndufa13/Ndufc1/Cisd1/Ndufv1/Afg1l/Uqcrfs1/Atp5mf/Tmem135/Ndufb10/Etfrf1/Ccnb1/Cox6a1/Cox10/Uqcrq/Mtfr1l/Tefm/Chchd10/Atp5me/Mtln/Coa6/Suclg1/Antkmt/Sdhc/Uqcr10/Ndufs8/Mrps36/Cox5b/Cycs/Uqcrh/Chchd2/Ndufb6/Uqcc3/Cox7a1/Sco2/Ndufb1",133
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","78/2958","96/17883",2.826361850285e-44,4.25791412745435e-41,3.97624485569042e-41,"Ndufa9/Taco1/Ndufa11/Ndufb2/Tfam/Ndufs3/Uqcc1/Ndufs2/Ndufa2/Ndufa1/Coa3/Ndufa12/Ndufs7/Lyrm7/Fastkd3/Ndufs6/Ndufs4/Ndufb9/Samm50/Ndufa6/Ndufb4/Cox14/Ndufa5/Ndufaf7/Uqcc2/Timm21/Sdhaf2/Ndufb8/Ndufs1/Ndufb3/Coa5/Sdhaf4/Bcs1l/Ndufa10/Ndufa8/Ndufaf1/Ndufaf5/Ndufb5/Acad9/Ndufaf4/Dmac1/Ndufs5/Slc25a33/Tmem126b/Tmem126a/Ndufc2/Ndufab1/Ndufb11/Ndufb7/Chchd4/Oma1/Ndufa3/Ndufa13/Aifm1/Ndufc1/Coa8/Ndufb10/Ttc19/Sdhaf3/Tmem186/Lyrm2/Ndufaf6/Dmac2/Uqcc5/Ndufs8/Smim20/Uqcc6/Uqcc4/Ndufaf2/Sco1/Ndufaf3/Ndufb6/Uqcc3/Ndufaf8/Pet100/Sco2/Ndufb1/Tmem223",78
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","154/2958","320/17883",4.88398997361788e-40,5.88618471620427e-37,5.49680218925499e-37,"Cox5a/Dlat/Sdhd/Ndufa9/Atp5pb/Idh3g/Ndufa11/Ndufb2/Atp5f1d/Gys1/Etfb/Dlst/Mlxipl/Ndufs3/Cs/Prkag3/Sod2/Sdhb/Cox4i2/Ndufs2/Ndufa2/Macroh2a1/Atp5f1e/Ndufa1/Cox7c/Mdh2/Ndufa12/Igf1/Ndufs7/Uqcr11/Lyrm7/Mdh1/Ogdh/Pnpt1/Dld/Esrrb/Uqcrb/Sdha/Ndufs6/Pdhb/Ndufs4/Ppif/Dnajc15/Sucla2/Ndufb9/Adsl/Ndufa6/Aco2/Cyc1/Ndufb4/Atp5pf/Atp5po/Gpd1/Ndufa5/Ndufv3/Ndufv2/Msh2/Uqcc2/Cox7a2l/Pcdh12/Sdhaf2/Ndufb8/Atp5f1b/Atp5f1a/Sirt3/Cox8b/Phkg1/Uqcrc1/Atp5f1c/Pgm1/Ndufs1/Coq10b/Ndufb3/Sdhaf4/Ndufa10/Fh1/Ndufa8/Slc25a12/Ndufaf1/Idh3b/Gnas/Mtfr1/Ndufb5/Aco1/Dyrk2/Ndufs5/Slc25a33/Mfn2/Nipsnap2/Ndufc2/Coq7/Nupr1/Ndufab1/Uqcrc2/Ndufb11/Cox7b/Pdha1/Abcd1/Coq9/Cox4i1/Slc37a4/Idh3a/Etfa/Cox7a2/Pygm/Pfkm/Ndufb7/Phka1/Chchd4/Atp5pd/Ndufa3/Ndufa13/Phkb/Ndufc1/Enpp1/Cisd1/Ndufv1/Tigar/Afg1l/Uqcrfs1/Atp5mf/Tmem135/Ndufb10/Etfrf1/Ccnb1/Cox6a1/Cox10/Uqcrq/C1qtnf2/Mtfr1l/Tefm/Chchd10/Atp5me/Mtln/Coa6/Suclg1/Epm2a/Antkmt/Sdhc/Lep/Uqcr10/Ndufs8/Mrps36/Cox5b/Acadm/Ldha/Cycs/Uqcrh/Chchd2/Ndufb6/Uqcc3/Cox7a1/Sco2/Ndufb1",154
"GO:0140053","GO:0140053","mitochondrial gene expression","103/2958","166/17883",5.9657341399655e-40,5.99158565457202e-37,5.59523065127291e-37,"Tbrg4/Mrpl10/Taco1/Mrpl2/Mrpl4/Tfam/Mrpl49/Mrps25/Mrps18c/Coa3/Mrpl58/Mrpl45/Rmnd1/Mtrf1l/Mtres1/Qrsl1/Supv3l1/Mtif2/Pnpt1/Mrps24/Fastkd3/Mrpl36/Gfm2/Mrpl57/Mtrf1/Mrpl13/Mrpl40/Yars2/Mrpl39/Mrps23/Aars2/Mrpl14/Mrps18a/Lrpprc/Mrpl28/Uqcc2/Mrpl27/Mrpl16/Mrpl21/Mrpl43/Twnk/Sirt3/Fastkd2/Mrpl30/Mrpl44/Dars2/Fastkd1/Mrps5/Gfm1/Mrpl9/Mrpl37/Trit1/Nsun4/Fastk/Slc25a33/Mrpl1/Mrps33/Mrpl53/Mrpl19/Mrpl51/Mrps11/Mrpl46/Mrpl48/Mrpl17/Mrps31/Mto1/Mrps22/Mrpl3/Mrpl15/Ppargc1b/Mrpl34/Lars2/Mrpl55/Tfb1m/Mrpl47/Mtg1/Mrpl12/Mrps6/Mrps35/Mrps28/Tsfm/Mrps27/Mrpl50/Trmt10c/Mrps12/Mrps7/Tefm/Mterf2/Chchd10/Mrps16/Rpusd3/Mrpl35/Mrpl18/Mrps14/Mrps9/Mrpl42/Chchd1/Ptcd3/Aurkaip1/Dap3/Sars2/Tufm/Mrpl33",103
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","55/2958","60/17883",1.57146642774818e-37,1.35280809908722e-34,1.26331722146493e-34,"Sdhd/Ndufa9/Atp5pb/Ndufa11/Ndufb2/Atp5f1d/Ndufs3/Atp5mc1/Sdhb/Ndufs2/Ndufa2/Atp5f1e/Ndufa1/Atp5mc3/Ndufa12/Ndufs7/Sdha/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Atp5pf/Atp5po/Ndufa5/Ndufv3/Ndufv2/Ndufb8/Atp5f1b/Atp5f1a/Atp5f1c/Ndufs1/Ndufb3/Ndufa10/Ndufa8/Ndufb5/Ndufs5/Ndufc2/Ndufab1/Ndufb11/Ndufb7/Atp5pd/Ndufa3/Ndufa13/Ndufc1/Ndufv1/Atp5mf/Atp5mg/Ndufb10/Atp5me/Antkmt/Sdhc/Ndufs8/Ndufb6/Ndufb1",55
"GO:0032543","GO:0032543","mitochondrial translation","86/2958","130/17883",1.05134157052429e-36,7.9192303799742e-34,7.39535794213532e-34,"Mrpl10/Taco1/Mrpl2/Mrpl4/Mrpl49/Mrps25/Mrps18c/Coa3/Mrpl58/Mrpl45/Rmnd1/Mtrf1l/Qrsl1/Mtif2/Mrps24/Fastkd3/Mrpl36/Gfm2/Mrpl57/Mtrf1/Mrpl13/Mrpl40/Yars2/Mrpl39/Mrps23/Aars2/Mrpl14/Mrps18a/Lrpprc/Mrpl28/Uqcc2/Mrpl27/Mrpl16/Mrpl21/Mrpl43/Fastkd2/Mrpl30/Mrpl44/Dars2/Mrps5/Gfm1/Mrpl9/Mrpl37/Nsun4/Mrpl1/Mrps33/Mrpl53/Mrpl19/Mrpl51/Mrps11/Mrpl46/Mrpl48/Mrpl17/Mrps31/Mrps22/Mrpl3/Mrpl15/Mrpl34/Lars2/Mrpl55/Mrpl47/Mtg1/Mrpl12/Mrps6/Mrps35/Mrps28/Tsfm/Mrps27/Mrpl50/Trmt10c/Mrps12/Mrps7/Mrps16/Rpusd3/Mrpl35/Mrpl18/Mrps14/Mrps9/Mrpl42/Chchd1/Ptcd3/Aurkaip1/Dap3/Sars2/Tufm/Mrpl33",86
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","52/2958","56/17883",2.90907868056342e-36,1.94778979211946e-33,1.81893972237334e-33,"Sdhd/Ndufa9/Atp5pb/Ndufa11/Ndufb2/Atp5f1d/Ndufs3/Sdhb/Ndufs2/Ndufa2/Atp5f1e/Ndufa1/Ndufa12/Ndufs7/Sdha/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Atp5pf/Atp5po/Ndufa5/Ndufv3/Ndufv2/Ndufb8/Atp5f1b/Atp5f1a/Atp5f1c/Ndufs1/Ndufb3/Ndufa10/Ndufa8/Ndufb5/Ndufs5/Ndufc2/Ndufab1/Ndufb11/Ndufb7/Atp5pd/Ndufa3/Ndufa13/Ndufc1/Ndufv1/Atp5mf/Ndufb10/Atp5me/Antkmt/Sdhc/Ndufs8/Ndufb6/Ndufb1",52
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","182/2958","450/17883",1.93308770155742e-34,1.1648786489585e-31,1.08781966868694e-31,"Cox5a/Dlat/Sdhd/Ndufa9/Atp5pb/Taco1/Idh3g/Ndufa11/Ndufb2/Atp5f1d/Gys1/Etfb/Dlst/Mlxipl/Ndufs3/Cs/Prkag3/Sod2/Sdhb/Cox4i2/Git1/Ndufs2/Ndufa2/Macroh2a1/Atp5f1e/Ndufa1/Cox7c/Mdh2/Ndufa12/Igf1/Ndufs7/Uqcr11/Lyrm7/Mdh1/Ogdh/Pnpt1/Pgam2/Dld/Esrrb/Uqcrb/Sdha/Ndufs6/Pdhb/Ndufs4/Ppif/Dnajc15/Sucla2/Oxct1/Ndufb9/Ppara/Adsl/Ndufa6/Aco2/Cyc1/Ndufb4/Atp5pf/Atp5po/Gpd1/Ndufa5/Tpi1/Ndufv3/Ndufv2/Mlst8/Msh2/Uqcc2/Cox7a2l/Pcdh12/Sdhaf2/Ndufb8/Pfkfb1/Atp5f1b/Atp5f1a/Sirt3/Cox8b/Taldo1/Phkg1/Uqcrc1/Atp5f1c/Pgm1/Ndufs1/Coq10b/Ndufb3/Sdhaf4/Ndufa10/Pfkfb2/Fh1/Ndufa8/Slc25a12/Ndufaf1/Idh3b/Gnas/Mtfr1/Ndufb5/Etfdh/Adh5/Aco1/Dyrk2/Ndufs5/Hmgcl/Slc25a33/Mfn2/Nipsnap2/Ndufa4/Ndufc2/Coq7/Nupr1/Ndufab1/Uqcrc2/Ndufb11/Cox7b/Pdha1/Abcd1/Coq9/Cox4i1/Acat1/Fdx1/Slc37a4/Idh3a/Pkm/Mpi/Etfa/Cox7a2/Pygm/Cyb5r4/Pfkm/Ndufb7/Phka1/Chchd4/Atp5pd/Ndufa3/Galt/Ndufa13/Phkb/Sik2/Ndufc1/Enpp1/Cisd1/Coa8/Ndufv1/Tigar/Afg1l/Uqcrfs1/Atp5mf/Tmem135/Ndufb10/Etfrf1/Ccnb1/Cox6a1/Cox10/Uqcrq/C1qtnf2/Mtfr1l/Tefm/Chchd10/Atp5me/Mtln/Coa6/Suclg1/Epm2a/Antkmt/Gapdh/Sdhc/Lep/Uqcr10/Ndufs8/Eno3/Slc4a4/Mrps36/Cox5b/Pgk1/Acadm/Ldha/Eno1/Cycs/Uqcrh/Sco1/Chchd2/Ndufb6/Uqcc3/Cox7a1/Sco2/Ndufb1",182
