"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","88/2744","144/17883",3.80936378514132e-36,2.32637846358581e-32,1.82488574591349e-32,"Rpl13/Fmr1/Rps11/Rpl8/Eif2ak4/Rps9/Rplp1/Rps18/Rps15a/Rps25/Rps5/Rpl19/Rps27a/Unk/Nemf/Eif5/Etf1/Eif3a/Rps24/Rps26/Rplp2/Rpl14/Zc3h15/Rps3a1/Rps20/Rps6/Ybx1/Rpl22/Rpl6/Rpl28/Rps3/Rps4x/Eif4ebp1/Rpl4/Rpsa/Rps29/Eef2/Rps16/Rpl10a/Fau/Rpl12/Rps21/Hnrnpu/Rps19/Rpl21/Dhx29/Rpl7/Rps2/Rpl18a/Rpl37a/Rpl27a/Rpl9/Rps8/Rpl29/Rps23/Rps10/Rpl38/Rpl32/Rpl36/Rpl23a/Rpl5/Rpl30/Rpl18/Rpl11/Eif4a1/Rpl3/Rpl35a/Rpl26/Rps7/Rps17/Rps12/Rpl34/Rpl17/Rpl7a/Rpl27/Rps15/Rplp0/Rps28/Rpl23/Rpl31/Rpl13a/Eif2s2/Rpl36a/Rps6-ps4/Rps13/Rpl6l/Rpl41/Rpl24",88
"GO:0140241","GO:0140241","translation at synapse","45/2744","48/17883",1.83329906159431e-33,3.73198578971881e-30,2.92748913309322e-30,"Rpl13/Rps11/Rpl8/Rpl10/Rps15a/Rps5/Rps27a/Rps24/Rps26/Rplp2/Rpl14/Rpl22/Rpl6/Rpl28/Rpl4/Eef2/Rps16/Rpl10a/Rpl12/Rpl37/Rpl7/Rpl37a/Rpl27a/Rpl9/Rpl29/Rps10/Rpl38/Rpl32/Rpl36/Rpl23a/Rpl5/Rpl35a/Rpl26/Rps12/Rpl34/Rpl17/Rpl7a/Rpl35/Rpl27/Rps28/Rpl23/Rpl13a/Rpl36a/Rps27/Rpl24",45
"GO:0140242","GO:0140242","translation at postsynapse","45/2744","48/17883",1.83329906159431e-33,3.73198578971881e-30,2.92748913309322e-30,"Rpl13/Rps11/Rpl8/Rpl10/Rps15a/Rps5/Rps27a/Rps24/Rps26/Rplp2/Rpl14/Rpl22/Rpl6/Rpl28/Rpl4/Eef2/Rps16/Rpl10a/Rpl12/Rpl37/Rpl7/Rpl37a/Rpl27a/Rpl9/Rpl29/Rps10/Rpl38/Rpl32/Rpl36/Rpl23a/Rpl5/Rpl35a/Rpl26/Rps12/Rpl34/Rpl17/Rpl7a/Rpl35/Rpl27/Rps28/Rpl23/Rpl13a/Rpl36a/Rps27/Rpl24",45
"GO:0140236","GO:0140236","translation at presynapse","44/2744","47/17883",1.13567173344065e-32,1.73388681903052e-29,1.36011633128643e-29,"Rpl13/Rps11/Rpl8/Rpl10/Rps15a/Rps5/Rps27a/Rps24/Rps26/Rplp2/Rpl14/Rpl22/Rpl6/Rpl28/Rpl4/Rps16/Rpl10a/Rpl12/Rpl37/Rpl7/Rpl37a/Rpl27a/Rpl9/Rpl29/Rps10/Rpl38/Rpl32/Rpl36/Rpl23a/Rpl5/Rpl35a/Rpl26/Rps12/Rpl34/Rpl17/Rpl7a/Rpl35/Rpl27/Rps28/Rpl23/Rpl13a/Rpl36a/Rps27/Rpl24",44
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","143/2744","427/17883",3.2128276738672e-21,3.92414772086139e-18,3.0782271039515e-18,"Kat2b/Ddx18/Pwp1/Celf2/Ipo4/Prpf6/Rps11/Snrnp200/Ppan/Ddx56/Rsl1d1/Rps9/Rpl10/Rps15a/Rps25/Rps5/Nol3/Mtrex/Exosc10/Ddx27/Aatf/Ddx39b/Xab2/Ddx21/Nopchap1/Pes1/Ftsj3/Luc7l3/Gtpbp4/Eif5/Rpp40/Riok1/Drosha/Luc7l/Wdr46/Riok3/Srfbp1/Prpf19/Eif3a/Pdcd11/Gnl3l/Rps24/Sbds/Pa2g4/Rpl14/Sf3b1/Nop58/Eif5b/Ncl/Cdc73/Glul/Tsc1/Exosc8/Ddx20/Rps3a1/Ptbp2/Rpf1/Rps6/Srsf10/Gnl2/Nol9/Sdad1/Sfswap/Dhx37/Ddx51/Rpl6/Malsu1/Luc7l2/Wbp11/Mphosph10/Cul4b/Rbmx/Cul4a/Mak16/Lsm6/Rpsa/Rbm5/Dis3/Scaf11/Usp36/Exosc1/Cpsf7/Gcfc2/Prpf39/Ythdc1/Nop14/Rsrp1/Rps16/Rpl10a/Fau/Tsr1/Efl1/Sde2/Trmt112/Rps21/Sart1/Suv39h1/Isg20/Dnttip2/Urb1/Mybbp1a/Rps19/Wdr43/Chd7/Dhx29/Wdr55/Rpl7/Rps8/Rps23/Ddx17/Cpsf6/Npm1/Rpl38/Las1l/Abce1/Rrp1b/Rpl23a/Rpl5/Rpl11/Rpl35a/Nsa2/Rpl26/Exosc5/Rps7/Rps17/Rps12/Rpl7a/Rpl35/Rpl27/Rps15/Utp14a/Rnasel/Rplp0/Rps28/Lyar/Ptges3/Rpl13a/Eif2s2/Rpl35rt/Rps6-ps4/Rps27/Rps13/Rpl24",143
"GO:0006397","GO:0006397","mRNA processing","151/2744","468/17883",1.42602709435297e-20,1.45145791086894e-17,1.13857005375445e-17,"Fmr1/Supt6/Celf2/Prpf6/Akap8l/Cdk12/Ddx23/Snrnp200/Pan2/Khsrp/Rbfox1/Rnmt/Rbm25/Sugp1/Nol3/Mtrex/Cwc25/Fxr2/Ddx39b/Xab2/Adarb1/Ern1/Ddx5/Ncbp3/Luc7l3/Eftud2/Pnn/Snw1/Zfp36l1/Srsf5/Prpf4b/Snrnp48/Ddx46/Rbm26/Acin1/Bcl2l2/Hsf1/Son/Paxbp1/Prpf40b/Sympk/Cmtr1/Luc7l/Thoc1/Wdr33/Rbm27/Tcerg1/Rbm22/Prpf19/Sf3b2/Sf1/Sf3b1/Ncl/Cdc73/Cwc22/Xrn2/Rbm39/Ctnnbl1/Rprd1b/Prpf38b/Ddx20/Rnpc3/Rprd2/Ptbp2/Ptbp3/Ybx1/Srsf10/Srrm1/Sfpq/Syf2/Ssu72/Dhx15/Fip1l1/Rest/Sfswap/Rbm19/Cpsf4/Pan3/Tra2a/Luc7l2/Wbp11/Nova2/Rbbp6/Rbmx/Rbm3/Zrsr2/Lsm6/Zpr1/Sltm/Rbm5/Rbm6/Scaf11/Sf3b3/Rbm4b/Rnps1/Cpsf7/Gcfc2/Prpf39/Ythdc1/Ddx1/Rbm17/Rsrp1/Srrt/Thoc2/Nsrp1/Dhx38/Phrf1/Sde2/Sart1/Srrm2/Hnrnpu/Aqr/Virma/Cdk13/Pcf11/Tardbp/Cir1/Hnrnpf/Tent2/Rbm7/Safb2/Cenatac/Thrap3/Cirbp/Scaf8/Hnrnpa1/Rbm15/Mfap1b/Lsm10/Lgals3/Chd8/Ddx17/Cpsf6/Npm1/Rrp1b/Hnrnpa3/Hnrnpm/Clasrp/Snrnp70/Nup98/Prpf38a/Gpatch1/Rnasel/Mfap1a/Dazap1/Safb/Tut1/Rbm15b/Zc3h3/Casc3/Rnf113a2",151
"GO:0042254","GO:0042254","ribosome biogenesis","113/2744","313/17883",7.56703758185055e-20,6.60169978748019e-17,5.17858466691757e-17,"Kat2b/Ddx18/Pwp1/Ipo4/Rps11/Ppan/Ddx56/Rsl1d1/Rps9/Rpl10/Rps15a/Rps25/Rps5/Mtrex/Exosc10/Ddx27/Aatf/Ddx21/Pes1/Ftsj3/Gtpbp4/Eif5/Rpp40/Riok1/Drosha/Wdr46/Riok3/Srfbp1/Pdcd11/Gnl3l/Rps24/Sbds/Pa2g4/Rpl14/Nop58/Eif5b/Ncl/Glul/Tsc1/Exosc8/Rps3a1/Rpf1/Rps6/Gnl2/Nol9/Sdad1/Dhx37/Ddx51/Rpl6/Malsu1/Wbp11/Mphosph10/Cul4b/Cul4a/Mak16/Lsm6/Rpsa/Dis3/Usp36/Exosc1/Nop14/Rps16/Rpl10a/Fau/Tsr1/Efl1/Sde2/Trmt112/Rps21/Sart1/Suv39h1/Isg20/Dnttip2/Urb1/Mybbp1a/Rps19/Wdr43/Chd7/Dhx29/Wdr55/Rpl7/Rps8/Rps23/Ddx17/Npm1/Rpl38/Las1l/Abce1/Rrp1b/Rpl23a/Rpl5/Rpl11/Rpl35a/Nsa2/Rpl26/Exosc5/Rps7/Rps17/Rps12/Rpl7a/Rpl35/Rpl27/Rps15/Utp14a/Rnasel/Rplp0/Rps28/Lyar/Rpl35rt/Rps6-ps4/Rps27/Rps13/Rpl24",113
"GO:0008380","GO:0008380","RNA splicing","134/2744","423/17883",1.23672903415438e-17,9.44088026447604e-15,7.40572872952185e-15,"Kat2b/Fmr1/Supt6/Celf2/Prpf6/Cdk12/Ddx23/Snrnp200/Akt2/Khsrp/Rbfox1/Rbm25/Sugp1/Nol3/Mtrex/Cwc25/Fxr2/Ddx39b/Xab2/Clk4/Taf15/Ern1/Ddx5/Luc7l3/Kat2a/Eftud2/Pnn/Snw1/Srsf5/Prpf4b/Snrnp48/Ddx46/Rtraf/Acin1/Son/Paxbp1/Prpf40b/Luc7l/Thoc1/Tcerg1/Rbm22/Prpf19/Sf3b2/Sf1/Rps26/Sf3b1/Clk1/Ncl/Cwc22/Rbm39/Ctnnbl1/Supt20/Ccnl1/Prpf38b/Ddx20/Rnpc3/Ptbp2/Ptbp3/Ybx1/Srsf10/Srrm1/Sfpq/Syf2/Ccnl2/Dhx15/Rest/Sfswap/Rbm19/Tra2a/Luc7l2/Zfp638/Wbp11/Nova2/Fus/Rbmx/Rbm3/Zrsr2/Lsm6/Zpr1/Clk3/Rbm5/Rbm6/Scaf11/Sf3b3/Rbm4b/Rnps1/Gcfc2/Prpf39/Ythdc1/Ddx1/Rbm17/Rsrp1/Thoc2/Nsrp1/Dhx38/Sde2/Sart1/Srrm2/Hnrnpu/Aqr/Virma/Cdk13/Pik3r1/Tardbp/Cir1/Hnrnpf/Rbm7/Cenatac/Thrap3/Cirbp/Trrap/Hnrnpa1/Rbm15/Mfap1b/Lsm10/Lgals3/Rbm12b2/Ddx17/Npm1/Rrp1b/Hnrnpa3/Hnrnpm/Clasrp/Snrnp70/Nup98/Prpf38a/Mfap1a/Clk2/Dazap1/Ahnak/Rbm15b/Casc3/Rps13/Rnf113a2",134
"GO:0016072","GO:0016072","rRNA metabolic process","88/2744","244/17883",1.01604515685681e-15,6.89443085880505e-13,5.40821229105889e-13,"Kat2b/Ddx18/Pwp1/Ppan/Ddx56/Rsl1d1/Rps25/Mtrex/Exosc10/Ddx27/Ddx21/Pes1/Ftsj3/Gtpbp4/Spin1/Rpp40/Riok1/Drosha/Wdr46/Riok3/Srfbp1/Tcof1/Pdcd11/Rps24/Sbds/Pa2g4/Rpl14/Ncl/Polr1b/Exosc8/Rpf1/Rps6/Nol9/Mtor/Dhx37/Ddx51/Wbp11/Mphosph10/Mak16/Lsm6/Smarca4/Xrn1/Dis3/Usp36/Exosc1/Zcchc7/Nop14/Rps16/Rpl10a/Tsr1/Sde2/Trmt112/Rps21/Sart1/Suv39h1/Isg20/Urb1/Mars1/Rps19/Wdr43/Chd7/Wdr55/Rpl7/Rps8/Polr1a/Ddx17/Npm1/Las1l/Rrp1b/Rpl5/Rpl11/Rpl35a/Nsa2/Rpl26/Exosc5/Rps7/Rps17/Rpl7a/Rpl35/Rpl27/Rps15/Utp14a/Rnasel/Rps28/Lyar/Rpl35rt/Rps6-ps4/Rps27",88
"GO:0006364","GO:0006364","rRNA processing","79/2744","213/17883",5.03037892719774e-15,3.07205241083966e-12,2.40981626291336e-12,"Kat2b/Ddx18/Pwp1/Ppan/Ddx56/Rsl1d1/Rps25/Mtrex/Exosc10/Ddx27/Ddx21/Pes1/Ftsj3/Gtpbp4/Rpp40/Riok1/Drosha/Wdr46/Riok3/Srfbp1/Pdcd11/Rps24/Sbds/Pa2g4/Rpl14/Ncl/Exosc8/Rpf1/Rps6/Nol9/Dhx37/Ddx51/Wbp11/Mphosph10/Mak16/Lsm6/Dis3/Usp36/Exosc1/Nop14/Rps16/Rpl10a/Tsr1/Sde2/Trmt112/Rps21/Sart1/Suv39h1/Isg20/Urb1/Rps19/Wdr43/Chd7/Wdr55/Rpl7/Rps8/Ddx17/Npm1/Las1l/Rrp1b/Rpl5/Rpl11/Rpl35a/Nsa2/Rpl26/Exosc5/Rps7/Rps17/Rpl7a/Rpl35/Rpl27/Rps15/Utp14a/Rnasel/Rps28/Lyar/Rpl35rt/Rps6-ps4/Rps27",79
