"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","205/2993","280/17988",3.89639742521727e-99,2.77813136417991e-96,2.47318699726949e-96,"Cox5a/Dlat/Sdhd/Dbt/Ndufa9/Atp5pb/Mrpl10/Idh3g/Ndufa11/Ndufb2/Mrpl2/Atp5f1d/Mrpl4/Timm50/Etfb/Ndufs3/Tomm40l/Atp5mc1/Pdk1/Mrpl49/Sdhb/Cox4i2/Pdhx/Ndufs2/Ndufa2/Cox6c/Mrps25/Atp5f1e/Slc25a5/Ndufa1/Mrps18c/Cox7c/Atp5mc3/Mrpl58/Mrpl45/Ndufa12/Supv3l1/Ndufs7/Uqcr11/Timm13/Vdac1/Pnpt1/Mrps24/Dld/Timm22/Atp5mj/Uqcrb/Sdha/Ndufs6/Mrpl36/Pdhb/Ndufs4/Ppif/Mrpl57/Dnajc15/Ndufb9/Mrpl13/Tomm22/Samm50/Ndufa6/Smdt1/Cyc1/Mrpl40/Ndufb4/Mrpl39/Atp5pf/Atp5po/Ndufa5/Mrps23/Mrpl14/Mrps18a/Ndufv3/Ndufv2/Mrpl28/Cox7a2l/Mrpl27/Afg3l2/Grpel2/Timm21/Mrpl16/Mrpl21/Ndufb8/Mrpl43/Atp5f1b/Atp5f1a/Cox8b/Apool/Uqcrc1/Hadha/Atp5f1c/Ndufs1/Ndufb3/Mrpl30/Mrpl44/Ndufa10/Ndufa8/Timm10/Mtx2/Mrps5/Idh3b/Nfs1/Mfn1/Ndufb5/Dnajc19/Etfdh/Mrpl9/Dmac1/Mrpl37/Ndufs5/Nsun4/Pmpcb/Mrpl1/Ndufa4/Mrps33/Mrpl53/Mrpl19/Mrpl51/Mrps11/Mrpl46/Ndufc2/Mrpl48/Bckdk/Ndufab1/Mrpl17/Uqcrc2/Ndufb11/Timm17b/Cox7b/Pdha1/Mrps31/Slc25a4/Cox4i1/Afg3l1/Idh3a/Etfa/Cox7a2/Mrps22/Mrpl3/Mrpl15/Ndufb7/Atp5pd/Mrpl34/Ndufa3/Ndufa13/Cox6b1/Mrpl55/Ndufc1/Mrpl47/Ndufv1/Uqcrfs1/Atp5mf/Atp5mg/Phb1/Mrpl12/Mrps6/Dnajc11/Ndufb10/Mrps35/Mrps28/Ndufa4l2/Mrps27/Cox6a1/Mrpl50/Trmt10c/Uqcrq/Mrps12/Mrps7/Timm8a1/Timm29/Chchd10/Micos13/Mrps16/Micos10/Atp5me/Immt/Suclg1/Mrpl35/Chchd3/Dmac2/Mrpl18/Sdhc/Mrps14/Hadhb/Uqcr10/Ndufs8/Bckdha/Mrps9/Mrps36/Cox5b/Timm17a/Mrpl42/Chchd1/Uqcrh/Ptcd3/Aurkaip1/Dap3/Ndufb6/Atp5mk/Uqcc3/Cox7a1/Tomm5/Apoo/Tomm20/Mrpl33/Ndufb1",205
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","105/2993","135/17988",1.77048351754023e-55,6.31177374003092e-53,5.61895558461452e-53,"Cox5a/Sdhd/Ndufa9/Atp5pb/Ndufa11/Ndufb2/Atp5f1d/Timm50/Ndufs3/Atp5mc1/Sdhb/Cox4i2/Ndufs2/Ndufa2/Cox6c/Atp5f1e/Ndufa1/Cox7c/Atp5mc3/Ndufa12/Ndufs7/Uqcr11/Timm22/Atp5mj/Uqcrb/Sdha/Ndufs6/Ndufs4/Dnajc15/Ndufb9/Ndufa6/Smdt1/Cyc1/Ndufb4/Atp5pf/Atp5po/Ndufa5/Ndufv3/Ndufv2/Cox7a2l/Afg3l2/Grpel2/Timm21/Ndufb8/Atp5f1b/Atp5f1a/Cox8b/Apool/Uqcrc1/Atp5f1c/Ndufs1/Ndufb3/Ndufa10/Ndufa8/Timm10/Ndufb5/Dnajc19/Dmac1/Ndufs5/Ndufa4/Ndufc2/Ndufab1/Uqcrc2/Ndufb11/Timm17b/Cox7b/Cox4i1/Afg3l1/Cox7a2/Ndufb7/Atp5pd/Ndufa3/Ndufa13/Cox6b1/Ndufc1/Ndufv1/Uqcrfs1/Atp5mf/Atp5mg/Phb1/Dnajc11/Ndufb10/Ndufa4l2/Cox6a1/Uqcrq/Timm29/Chchd10/Micos13/Micos10/Atp5me/Immt/Chchd3/Dmac2/Sdhc/Uqcr10/Ndufs8/Cox5b/Timm17a/Uqcrh/Ndufb6/Atp5mk/Uqcc3/Cox7a1/Apoo/Ndufb1",105
"GO:0005759","GO:0005759","mitochondrial matrix","164/2993","298/17988",2.00721617381393e-52,4.77048377309777e-50,4.24684685196421e-50,"Dlat/Dbt/Tbrg4/Ndufa9/Mrpl10/Idh3g/Alkbh7/Mrpl2/Timm44/Mrpl4/Tfam/Dnaja3/Etfb/Cs/Pdk1/Acot13/Sod2/Casq1/Mrpl49/Pdhx/Mrps25/Slc25a5/Mrps18c/Mrm1/Acadvl/Mrpl58/Mrpl45/Mdh2/Mtres1/Supv3l1/Lyrm7/Vdac1/Mrps24/Dld/Eral1/Glrx5/Fastkd3/Mrpl36/Dhfr/Pdhb/Vdac2/Glud1/Ppif/Mrpl57/Mipep/Dnajc15/Rida/Mrpl13/Aco2/Mrpl40/Mrpl39/Mrps23/Mmut/Mrpl14/Mrps18a/Lrpprc/Mrpl28/Uqcc2/Mrpl27/Grpel2/Mrpl16/Ak3/Mrpl21/Mrpl43/Twnk/Atp5f1b/Sirt3/Hadha/Lactb2/Fastkd2/Hspd1/Mrpl30/Mrpl44/Fh1/Fastkd1/Ivd/Mrps5/Idh3b/Nfs1/Dnajc19/Etfdh/Mrpl9/Mrpl37/Nsun4/Acot7/Fastk/Pmpcb/Atad3a/Mrpl1/Sirt4/Acads/Mrps33/Mrpl53/Mrpl19/Mrpl51/Mrps11/Mrpl46/Mrpl48/Bckdk/Mrpl17/Pdha1/Mrps31/Cbr4/Got2/Acat1/Fdx1/Idh3a/Etfa/Mrps22/Pccb/Mrpl3/Alas1/Pdpr/Mrpl15/Acot11/Mrpl34/Nudt1/Mrpl55/Acaa2/Tfb1m/Mrpl47/Pptc7/Mtg1/Mrpl12/Mrps6/Mrps35/Mrps28/Tsfm/Lonp1/Ccnb1/Mrps27/Pcca/Coq5/Pde12/Mrpl50/Grsf1/Trmt10c/Bola3/Fahd1/Mrps12/Mrps7/Tefm/Mterf2/Iba57/Mrps16/Suclg1/Mrpl35/Sirt5/Mrpl18/Mrps14/Hadhb/Fdps/Bckdha/Mrps9/Mrps36/Acadm/Mrpl42/Chchd1/Ptcd3/Aurkaip1/Trmt2b/Dap3/Tufm/Mrpl33",164
"GO:0098803","GO:0098803","respiratory chain complex","68/2993","79/17988",7.52610040938029e-42,1.15907531266961e-39,1.03184825207024e-39,"Cox5a/Sdhd/Ndufa9/Ndufa11/Ndufb2/Ndufs3/Sdhb/Cox4i2/Ndufs2/Ndufa2/Cox6c/Ndufa1/Cox7c/Ndufa12/Ndufs7/Uqcr11/Uqcrb/Sdha/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Cyc1/Ndufb4/Ndufa5/Ndufv3/Ndufv2/Cox7a2l/Ndufb8/Cox8b/Uqcrc1/Ndufs1/Ndufb3/Ndufa10/Ndufa8/Ndufb5/Dmac1/Ndufs5/Ndufa4/Ndufc2/Ndufab1/Uqcrc2/Ndufb11/Cox7b/Cox4i1/Cox7a2/Ndufb7/Ndufa3/Ndufa13/Cox6b1/Ndufc1/Ndufv1/Uqcrfs1/Ndufb10/Ndufa4l2/Cox6a1/Uqcrq/Coa6/Dmac2/Sdhc/Uqcr10/Ndufs8/Cox5b/Uqcrh/Ndufb6/Uqcc3/Cox7a1/Ndufb1",68
"GO:0070469","GO:0070469","respirasome","71/2993","85/17988",8.12815787285842e-42,1.15907531266961e-39,1.03184825207024e-39,"Cox5a/Sdhd/Ndufa9/Ndufa11/Ndufb2/Ndufs3/Sdhb/Cox4i2/Ndufs2/Ndufa2/Cox6c/Ndufa1/Cox7c/Ndufa12/Ndufs7/Uqcr11/Uqcrb/Sdha/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Cyc1/Ndufb4/Ndufa5/Ndufv3/Ndufv2/Cox7a2l/Ndufb8/Cox8b/Uqcrc1/Ndufs1/Ndufb3/Ndufa10/Ndufa8/Ndufb5/Dmac1/Ndufs5/Ndufa4/Ndufc2/Ndufab1/Uqcrc2/Ndufb11/Cox7b/Cox4i1/Cox7a2/Ndufb7/Ndufa3/Ndufa13/Cox6b1/Ndufc1/Ndufv1/Higd1a/Uqcrfs1/Ndufb10/Ndufa4l2/Cox6a1/Ttc19/Uqcrq/Coa6/Dmac2/Sdhc/Uqcr10/Ndufs8/Cox5b/Uqcrh/Uqcc4/Ndufb6/Uqcc3/Cox7a1/Ndufb1",71
"GO:0005746","GO:0005746","mitochondrial respirasome","67/2993","78/17988",3.96717699022831e-41,4.71432865672131e-39,4.19685565808363e-39,"Cox5a/Sdhd/Ndufa9/Ndufa11/Ndufb2/Ndufs3/Sdhb/Cox4i2/Ndufs2/Ndufa2/Cox6c/Ndufa1/Cox7c/Ndufa12/Ndufs7/Uqcr11/Uqcrb/Sdha/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Cyc1/Ndufb4/Ndufa5/Ndufv3/Ndufv2/Cox7a2l/Ndufb8/Cox8b/Uqcrc1/Ndufs1/Ndufb3/Ndufa10/Ndufa8/Ndufb5/Dmac1/Ndufs5/Ndufa4/Ndufc2/Ndufab1/Uqcrc2/Ndufb11/Cox7b/Cox4i1/Cox7a2/Ndufb7/Ndufa3/Ndufa13/Cox6b1/Ndufc1/Ndufv1/Uqcrfs1/Ndufb10/Ndufa4l2/Cox6a1/Uqcrq/Dmac2/Sdhc/Uqcr10/Ndufs8/Cox5b/Uqcrh/Ndufb6/Uqcc3/Cox7a1/Ndufb1",67
"GO:1990204","GO:1990204","oxidoreductase complex","81/2993","111/17988",1.95860798937802e-39,1.99498213775218e-37,1.7760009287142e-37,"Dlat/Sdhd/Dbt/Ndufa9/Idh3g/Ndufa11/Ndufb2/Etfb/Dlst/Ndufs3/Pdk1/Sdhb/Pdhx/Ndufs2/Ndufa2/Ndufa1/P4ha2/P4ha1/Ndufa12/Ndufs7/Uqcr11/Ogdh/Dld/Uqcrb/Sdha/Ndufs6/Pdhb/Ndufs4/Ndufb9/Ndufa6/Cyc1/Ndufb4/Gpd1/Ndufa5/Ndufv3/Ndufv2/Ndufb8/Uqcrc1/Ndufs1/Ndufb3/Ndufa10/Gpd2/Ndufa8/Idh3b/Ndufb5/Etfdh/Dmac1/Ndufs5/Ndufa4/Ldhb/Ndufc2/Bckdk/Ndufab1/Uqcrc2/Rrm1/Ndufb11/Pdha1/Cbr4/Cyb5b/Idh3a/Etfa/Ndufb7/Gcsh/Ndufa3/Ndufa13/Ndufc1/Ndufv1/Uqcrfs1/Ndufb10/Uqcrq/Dmac2/Sdhc/Uqcr10/Ndufs8/Bckdha/Mrps36/Ldha/Uqcrh/Ndufb6/Uqcc3/Ndufb1",81
"GO:0000313","GO:0000313","organellar ribosome","64/2993","89/17988",8.41111245602063e-31,6.66347020126967e-29,5.93204773214086e-29,"Mrpl10/Mrpl2/Mrpl4/Mrpl49/Mrps25/Mrps18c/Mrpl58/Mrpl45/Mrps24/Mrpl36/Mrpl57/Mrpl13/Mrpl40/Mrpl39/Mrps23/Mrpl14/Mrps18a/Mrpl28/Mrpl27/Mrpl16/Mrpl21/Mrpl43/Mrpl30/Mrpl44/Mrps5/Mrpl9/Mrpl37/Nsun4/Mrpl1/Mrps33/Mrpl53/Mrpl19/Mrpl51/Mrps11/Mrpl46/Mrpl48/Mrpl17/Mrps31/Mrps22/Mrpl3/Mrpl15/Mrpl34/Mrpl55/Mrpl47/Mtg1/Mrpl12/Mrps6/Mrps35/Mrps28/Mrps27/Mrpl50/Mrps12/Mrps7/Mrps16/Mrpl35/Mrpl18/Mrps14/Mrps9/Mrpl42/Chchd1/Ptcd3/Aurkaip1/Dap3/Mrpl33",64
"GO:0005761","GO:0005761","mitochondrial ribosome","64/2993","89/17988",8.41111245602063e-31,6.66347020126967e-29,5.93204773214086e-29,"Mrpl10/Mrpl2/Mrpl4/Mrpl49/Mrps25/Mrps18c/Mrpl58/Mrpl45/Mrps24/Mrpl36/Mrpl57/Mrpl13/Mrpl40/Mrpl39/Mrps23/Mrpl14/Mrps18a/Mrpl28/Mrpl27/Mrpl16/Mrpl21/Mrpl43/Mrpl30/Mrpl44/Mrps5/Mrpl9/Mrpl37/Nsun4/Mrpl1/Mrps33/Mrpl53/Mrpl19/Mrpl51/Mrps11/Mrpl46/Mrpl48/Mrpl17/Mrps31/Mrps22/Mrpl3/Mrpl15/Mrpl34/Mrpl55/Mrpl47/Mtg1/Mrpl12/Mrps6/Mrps35/Mrps28/Mrps27/Mrpl50/Mrps12/Mrps7/Mrps16/Mrpl35/Mrpl18/Mrps14/Mrps9/Mrpl42/Chchd1/Ptcd3/Aurkaip1/Dap3/Mrpl33",64
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","39/2993","45/17988",9.74908627369721e-25,5.79258209428842e-23,5.15675352898194e-23,"Ndufa9/Ndufa11/Ndufb2/Ndufs3/Ndufs2/Ndufa2/Ndufa1/Ndufa12/Ndufs7/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Ndufa5/Ndufv3/Ndufv2/Ndufb8/Ndufs1/Ndufb3/Ndufa10/Ndufa8/Ndufb5/Dmac1/Ndufs5/Ndufa4/Ndufc2/Ndufab1/Ndufb11/Ndufb7/Ndufa3/Ndufa13/Ndufc1/Ndufv1/Ndufb10/Dmac2/Ndufs8/Ndufb6/Ndufb1",39
