"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","GO:0022626","cytosolic ribosome","95/2754","132/17988",2.02690910451733e-48,1.42289019137117e-45,1.15427139530934e-45,"Rpl13/Rps11/Rpl8/Eif2ak4/Rsl1d1/Rps9/Rplp1/Rps18/Rpl10/Rps15a/Rps25/Rps5/Rpl19/Ubb/Ascc2/Rps27a/Nemf/Apod/Etf1/Rps24/Rps26/Rplp2/Rpl14/Rnf25/Rps3a1/Rps20/Rps6/Rpl22/Rpl6/Rpl28/Rps3/Rps4x/Rpl4/Rpsa/Rps29/Rps16/Eef1a1/Rpl10a/Fau/Rpl12/Rps21/Rps19/Zfp598/Rpl21/Gcn1/Rnf10/Rpl37/Dhx29/Rpl7/Rps2/Rpl18a/Rpl37a/Rpl27a/Rpl9/Rps8/Rpl29/Rps23/Rps10/Rpl38/Rpl32/Rpl36/Abce1/Rpl10-ps3/Rpl23a/Rpl5/Rpl30/Rpl18/Rpl11/Rpl3/Rpl35a/Rpl26/Rps7/Rps17/Rps12/Rpl34/Rpl17/Rpl7a/Rpl35/Rpl27/Rps15/Rplp0/Rps28/Uba52rt/Rpl23/Rpl37rt/Rpl31/Rpl13a/Rpl35rt/Rpl36a/Rps6-ps4/Rps27/Rps13/Rpl6l/Rpl41/Rpl24",95
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","51/2754","69/17988",1.7733114431437e-27,6.22432316543439e-25,5.04927100389864e-25,"Rpl13/Rpl8/Rsl1d1/Rplp1/Rpl10/Rpl19/Rplp2/Rpl14/Rpl22/Rpl6/Rpl28/Rpl4/Rpl10a/Rpl12/Rpl21/Rpl37/Rpl7/Rpl18a/Rpl37a/Rpl27a/Rpl9/Rpl29/Rpl38/Rpl32/Rpl36/Rpl10-ps3/Rpl23a/Rpl5/Rpl30/Rpl18/Rpl11/Rpl3/Rpl35a/Rpl26/Rps12/Rpl34/Rpl17/Rpl7a/Rpl35/Rpl27/Rplp0/Uba52rt/Rpl23/Rpl37rt/Rpl31/Rpl13a/Rpl35rt/Rpl36a/Rpl6l/Rpl41/Rpl24",51
"GO:0005840","GO:0005840","ribosome","105/2754","251/17988",2.49624754709234e-24,5.84121926019607e-22,4.73849095781387e-22,"Rpl13/Rps11/Rpl8/Eif2ak4/Rsl1d1/Rps9/Rplp1/Rps18/Rpl10/Rps15a/Rps25/Rps5/Rpl19/Ubb/Canx/Rack1/Ascc2/Rps27a/Nemf/Btf3/Eif3h/Apod/Etf1/Rps24/Rps26/Rplp2/Rpl14/Snca/Rnf25/Rps3a1/Rps20/Rps6/Rpl22/Rpl6/Rpl28/Rps3/Rps4x/Rpl4/Rpsa/Rps29/Eef2/Larp1/Rps16/Eef1a1/Rpl10a/Fau/Rpl12/Rps21/Rps19/Zfp598/Rpl21/Gcn1/Rnf10/Rpl37/Dhx29/Rpl7/Rps2/Dmd/Rpl18a/Rpl37a/Rpl27a/Rpl9/Rps8/Rpl29/Rps23/Rps10/Npm1/Rpl38/Rpl32/Rpl36/Abce1/Rpl10-ps3/Rpl23a/Rpl5/Rpl30/Rpl18/Rpl11/Rpl3/Rpl35a/Rpl26/Rps7/Rps17/Rps12/Rpl34/Rpl17/Rpl7a/Rpl35/Rpl27/Rps15/Rplp0/Rps28/Uba52rt/Rps18-ps6/Rpl23/Rpl37rt/Rpl31/Rpl13a/Rpl35rt/Rpl36a/Rps6-ps4/Rps27/Rps13/Rpl6l/Rpl41/Rpl24",105
"GO:0044391","GO:0044391","ribosomal subunit","87/2754","203/17988",3.194893829442e-21,5.60703867067071e-19,4.54851989928453e-19,"Rpl13/Rps11/Rpl8/Rsl1d1/Rps9/Rplp1/Rps18/Rpl10/Rps15a/Rps25/Rps5/Rpl19/Ubb/Rack1/Rps27a/Rps24/Rps26/Rplp2/Rpl14/Rps3a1/Rps20/Rps6/Rpl22/Rpl6/Rpl28/Rps3/Rps4x/Rpl4/Rpsa/Rps29/Rps16/Rpl10a/Fau/Rpl12/Rps21/Rps19/Rpl21/Rpl37/Dhx29/Rpl7/Rps2/Rpl18a/Rpl37a/Rpl27a/Rpl9/Rps8/Rpl29/Rps23/Rps10/Npm1/Rpl38/Rpl32/Rpl36/Rpl10-ps3/Rpl23a/Rpl5/Rpl30/Rpl18/Rpl11/Rpl3/Rpl35a/Rpl26/Rps7/Rps17/Rps12/Rpl34/Rpl17/Rpl7a/Rpl35/Rpl27/Rps15/Rplp0/Rps28/Uba52rt/Rps18-ps6/Rpl23/Rpl37rt/Rpl31/Rpl13a/Rpl35rt/Rpl36a/Rps6-ps4/Rps27/Rps13/Rpl6l/Rpl41/Rpl24",87
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","34/2754","45/17988",2.88693087694771e-19,4.05325095123459e-17,3.28806232511308e-17,"Rps11/Rps9/Rps18/Rps15a/Rps25/Rps5/Ubb/Rps27a/Rps24/Rps26/Rps3a1/Rps20/Rps6/Rps3/Rps4x/Rpsa/Rps29/Rps16/Fau/Rps21/Rps19/Dhx29/Rps2/Rps8/Rps23/Rps10/Rps7/Rps17/Rps12/Rps15/Rps28/Rps6-ps4/Rps27/Rps13",34
"GO:0016607","GO:0016607","nuclear speck","112/2754","348/17988",1.48707842479874e-15,1.73988175701452e-13,1.41142004880021e-13,"Prpf6/Akap8l/Cdk12/Itpkc/Hif3a/Adamts4/Hipk1/Hdac5/Nxf1/Rbm25/Ehmt2/Zc3h18/Mapt/Cwc25/Ddx39b/E2f7/Ddx42/Ddx5/Ncbp3/Luc7l3/Eftud2/Pnn/Snw1/Hif1a/Srsf5/Ylpm1/Prpf4b/Fam193b/Ddx46/Erbin/Fam107a/Phf7/Bnip3l/Acin1/Parn/Son/Prkn/Thoc1/Brd2/Csnk1a1/Prpf19/Sf3b2/Sf3b1/Ifi211/Cwc22/Rbm39/Mecom/Ccnl1/Pnisr/Prkaa2/Srsf10/Hp1bp3/Srrm1/Syf2/Dhx15/Ep400/Rbm19/Luc7l2/Dusp11/Klf15/Wbp11/Rbbp6/Lhpp/Kat6a/Atxn2l/Hsf4/Rbm4b/Usp36/Scaper/Zfp395/Bmp2k/Hectd1/Cops4/Nfkbiz/Ythdc1/Gadd45a/Topors/Bclaf1/Fam76b/Nsrp1/Sde2/Rreb1/Sart1/Srrm2/Ap5z1/Hnrnpu/Dgkz/Virma/Cdk13/Tardbp/Cir1/Poldip3/Setd1a/Thrap3/Rbm15/Maml1/Zfp217/Ddx17/Srsf11/Cpsf6/Fto/Npm1/Dock1/Maml3/Morf4l1/Snrnp70/Zbtb16/Cry2/Ell/Tut1/Ifi204/Rbm15b",112
"GO:0042788","GO:0042788","polysomal ribosome","26/2754","36/17988",3.05517747824684e-14,3.06390655675611e-12,2.48549024922036e-12,"Rpl8/Rpl19/Btf3/Eif3h/Rps26/Rpl6/Rps29/Eef2/Larp1/Rpl10a/Rps21/Rpl18a/Rpl29/Rps23/Rpl38/Rpl32/Rpl36/Rpl30/Rpl18/Rpl11/Rpl7a/Rps28/Rpl31/Rpl36a/Rpl6l/Rpl24",26
"GO:0015934","GO:0015934","large ribosomal subunit","52/2754","126/17988",1.79176569450419e-12,1.57227439692742e-10,1.27545426411416e-10,"Rpl13/Rpl8/Rsl1d1/Rplp1/Rpl10/Rpl19/Rplp2/Rpl14/Rpl22/Rpl6/Rpl28/Rpl4/Rpl10a/Rpl12/Rpl21/Rpl37/Rpl7/Rpl18a/Rpl37a/Rpl27a/Rpl9/Rpl29/Npm1/Rpl38/Rpl32/Rpl36/Rpl10-ps3/Rpl23a/Rpl5/Rpl30/Rpl18/Rpl11/Rpl3/Rpl35a/Rpl26/Rps12/Rpl34/Rpl17/Rpl7a/Rpl35/Rpl27/Rplp0/Uba52rt/Rpl23/Rpl37rt/Rpl31/Rpl13a/Rpl35rt/Rpl36a/Rpl6l/Rpl41/Rpl24",52
"GO:0005844","GO:0005844","polysome","36/2754","75/17988",2.48288207367534e-11,1.93664801746677e-09,1.57104000217352e-09,"Fmr1/Calr/Rpl8/Eif2ak4/Rpl19/Fxr2/Unk/Btf3/Eif3h/Rps26/Rps6/Rpl6/Rps3/Rps4x/Rps29/Eef2/Larp1/Rpl10a/Rps21/Gcn1/Rpl7/Rpl18a/Rpl29/Rps23/Rpl38/Rpl32/Rpl36/Rpl30/Rpl18/Rpl11/Rpl7a/Rps28/Rpl31/Rpl36a/Rpl6l/Rpl24",36
"GO:0015935","GO:0015935","small ribosomal subunit","37/2754","82/17988",1.27548666310639e-10,8.95391637500687e-09,7.26356089200587e-09,"Rps11/Rps9/Rps18/Rps15a/Rps25/Rps5/Ubb/Rack1/Rps27a/Rps24/Rps26/Rps3a1/Rps20/Rps6/Rps3/Rps4x/Rpsa/Rps29/Rps16/Fau/Rps21/Rps19/Dhx29/Rps2/Rps8/Rps23/Rps10/Npm1/Rps7/Rps17/Rps12/Rps15/Rps28/Rps18-ps6/Rps6-ps4/Rps27/Rps13",37
