"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","66/2933","140/17763",2.46448838931084e-17,2.91795425294404e-14,2.65127066723756e-14,"Col6a1/Col18a1/Col1a1/Lamb1/Col5a3/Nid1/Matn4/Vtn/Sparc/Lama4/Lama2/Col6a2/Pxdn/Papln/Aspn/Ogn/Vcan/Thbs4/Nid2/Matn2/Col2a1/Igfbp6/Emilin2/Col11a2/Fbn2/Efemp2/Col5a2/Col3a1/Fn1/Lamc1/Dpt/Col5a1/Fbn1/Postn/Col11a1/Col24a1/Col15a1/Tnc/Hspg2/Col1a2/Mfap5/Col4a5/Col4a1/Col4a2/Comp/Bmper/Col12a1/Tnxb/Emid1/Fras1/Abi3bp/Lum/Tecta/Megf9/Ltbp4/Col16a1/Npnt/Mfap4/Col6a6/Col6a3/Col8a2/Hmcn1/Col4a4/Col8a1/Col22a1/Col4a3",66
"GO:0009055","GO:0009055","electron transfer activity","27/2933","38/17763",1.24925740544621e-13,7.39560384024154e-11,6.71968983350538e-11,"Cox5a/Etfb/Ndufs3/Sdhb/Cox4i2/Ndufs2/Ndufa2/Aifm2/Ndufs7/Sdha/Ndufs4/Cyc1/Ndufv2/Ndufs1/Ndufa10/Etfdh/Fdx1/Etfa/Ndufb7/Aifm1/Ndufv1/Uqcrfs1/Nqo2/Sdhc/Ndufs8/Uqcrh/Cox7a1",27
"GO:0015453","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","18/2933","22/17763",2.96444009565227e-11,1.1699656910841e-08,1.06303781675671e-08,"Cox5a/Ndufs3/Cox4i2/Ndufs2/Ndufa2/Ndufs7/Ndufs4/Cyc1/Ndufv2/Ndufs1/Ndufa10/Cybrd1/Ndufb7/Ndufv1/Uqcrfs1/Ndufs8/Uqcrh/Cox7a1",18
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","26/2933","44/17763",1.9725399490021e-10,5.83871824904621e-08,5.30509428389512e-08,"Col6a1/Col18a1/Col1a1/Col5a3/Col6a2/Col2a1/Col11a2/Col5a2/Col3a1/Col5a1/Col11a1/Col24a1/Col15a1/Col1a2/Col4a5/Col4a1/Col4a2/Col12a1/Col16a1/Col6a6/Col6a3/Col8a2/Col4a4/Col8a1/Col22a1/Col4a3",26
"GO:0005518","GO:0005518","collagen binding","33/2933","69/17763",1.41180087990332e-09,3.34314448361105e-07,3.03760105107619e-07,"Col6a1/Ddr1/Nid1/Itga2/Vtn/C1qtnf1/Sparc/Col6a2/Mrc2/Thbs4/Ache/Itgb1/Pdgfa/Ddr2/Hsd17b12/Map1a/Ctsk/Hspg2/Pcolce/Adam9/Comp/Smad3/Cspg4/Tnxb/Antxr1/Gpc1/Dpp4/Abi3bp/Lum/Ecm2/Lrrc15/Chadl/Serpinh1",33
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","11/2933","11/17763",2.44875038714706e-09,4.83220076397019e-07,4.39056648362157e-07,"Ndufs3/Ndufs2/Ndufa2/Ndufs7/Ndufs4/Ndufv2/Ndufs1/Ndufa10/Ndufb7/Ndufv1/Ndufs8",11
"GO:0046933","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","12/2933","13/17763",4.44395704112351e-09,7.39983390512844e-07,6.7235332957337e-07,"Atp5pb/Atp5f1d/Atp5f1e/Atp5pf/Atp5po/Atp5f1b/Atp5f1a/Atp5f1c/Atp5pd/Atp5mf/Atp5mg/Atp5me",12
"GO:0003955","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","13/2933","15/17763",4.99988777373543e-09,7.39983390512844e-07,6.7235332957337e-07,"Ndufs3/Ndufs2/Ndufa2/Ndufs7/Ndufs4/Ndufv2/Ndufs1/Ndufa10/Cbr4/Ndufb7/Ndufv1/Nqo2/Ndufs8",13
"GO:0050136","GO:0050136","NADH dehydrogenase (quinone) activity","11/2933","12/17763",2.4951265633615e-08,3.12426282084128e-06,2.83872386459796e-06,"Ndufs3/Ndufs2/Ndufa2/Ndufs7/Ndufs4/Ndufv2/Ndufs1/Ndufa10/Ndufb7/Ndufv1/Ndufs8",11
"GO:0003954","GO:0003954","NADH dehydrogenase activity","12/2933","14/17763",2.6387354905754e-08,3.12426282084128e-06,2.83872386459796e-06,"Ndufa9/Ndufs3/Ndufs2/Ndufa2/Ndufs7/Ndufs4/Ndufv2/Ndufs1/Ndufa10/Ndufb7/Ndufv1/Ndufs8",12
"GO:0015078","GO:0015078","proton transmembrane transporter activity","40/2933","103/17763",4.6666007131053e-08,5.02295931301516e-06,4.56389084095083e-06,"Cox5a/Atp5pb/Atp5f1d/Letm1/Atp5mc1/Cox4i2/Slc38a3/Slc47a1/Atp5f1e/Slc25a5/Slc2a4/Atp5mc3/Atp6v1e1/Slc46a1/Cyc1/Atp5pf/Atp5po/Slc11a2/Slc16a3/Atp5f1b/Atp5f1a/Atp5f1c/Slc9a2/Slc45a3/Slc25a12/Slc30a2/Slc25a4/Slc16a1/Atp5pd/Slc2a13/Atp6v0a2/Uqcrfs1/Atp6v0a4/Atp5mf/Atp5mg/Atp5me/Slc9a6/Uqcrh/Hvcn1/Cox7a1",40
"GO:0016791","GO:0016791","phosphatase activity","75/2933","249/17763",5.75293204600871e-08,5.67622628539526e-06,5.15745311493062e-06,"Hddc2/Ppm1j/Mdp1/Timm50/Dusp3/Ppp2r1a/Ppp2cb/Ptprs/Pten/Nt5c3b/Dusp14/Ptprk/Dusp6/Tns3/Sgpp1/Plpp1/Ppp3cb/Mtmr6/Ephx2/Tab1/Pfkfb1/Hdhd2/Pfkfb4/Ppm1f/Pfkfb2/Dusp23/Bpnt1/Ppp2r5a/Dusp19/Impa1/Car3/Ppm1l/Ppa2/Pip4p2/Rngtt/Aptx/Alpl/Ptp4a2/Pank4/Enoph1/Psph/Pgam5/Pon3/Ppm1n/Cdc25a/Nt5m/Inppl1/Ppp3r1/Inpp5j/Phpt1/Enpp1/Ppm1k/Dusp8/Tigar/Fig4/Pptc7/Ptpn3/Dusp10/Ptpa/Ublcp1/Pgp/Ptpn11/Plppr4/Dusp28/Dusp18/Pdp1/Plpp7/Nt5c1a/Epm2a/Ptpmt1/Dusp29/Bpnt2/Dusp22/Nt5dc2/Pdxp",75
"GO:0015252","GO:0015252","proton channel activity","13/2933","17/17763",8.14164281483612e-08,7.41515776366613e-06,6.73745664515183e-06,"Atp5pb/Atp5f1d/Atp5f1e/Atp5pf/Atp5po/Atp5f1b/Atp5f1a/Atp5f1c/Atp5pd/Atp5mf/Atp5mg/Atp5me/Hvcn1",13
"GO:0016655","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","17/2933","28/17763",1.63811418168627e-07,1.38537656508325e-05,1.25876142382208e-05,"Ndufs3/Ndufs2/Ndufa2/Aifm2/Ndufs7/Ndufs4/Dhrs4/Ndufv2/Ndufs1/Ndufa10/Cryz/Cbr4/Akr1c14/Ndufb7/Ndufv1/Nqo2/Ndufs8",17
"GO:0015399","GO:0015399","primary active transmembrane transporter activity","43/2933","122/17763",3.76335298879373e-07,2.88124296608493e-05,2.61791457266963e-05,"Cox5a/Ndufs3/Atp1a4/Cox4i2/Ndufs2/Ndufa2/Atp5f1e/Atp6v1e1/Atp2b1/Ndufs7/Ndufs4/Cyc1/Abcc5/Ndufv2/Atp5f1b/Ndufs1/Bcs1l/Abcb6/Ndufa10/Atp1b1/Abca2/Cybrd1/Anxa5/Abcd3/Abcb8/Abcb9/Abcb7/Atp2b3/Abcd1/Abcb10/Ndufb7/Ndufv1/Atp6v0a2/Uqcrfs1/Atp6v0a4/Atp5mg/Ipo8/Abcb4/Abcd2/Ndufs8/Uqcrh/Cox7a1/Tomm20",43
"GO:0016627","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","26/2933","58/17763",3.89357157579045e-07,2.88124296608493e-05,2.61791457266963e-05,"Sdhd/Akr1b1/Blvra/Sdhb/Acadvl/Sdha/Pecr/Crat/Ivd/Acad9/Decr1/Mecr/Acox3/Acads/Dhodh/Dus2/Acad8/Akr1c14/Dhcr24/Acaa1a/Ptgr3/Sdhc/Dhcr7/Acadm/Ptgr2/Acad11",26
"GO:0022804","GO:0022804","active transmembrane transporter activity","101/2933","387/17763",8.91386686730107e-07,6.20824610052028e-05,5.64084949744997e-05,"Cox5a/Clcn4/Clcn5/Letm1/Ndufs3/Slc5a6/Atp1a4/Slc16a12/Cox4i2/Slc38a3/Slc47a1/Slc41a1/Ndufs2/Ndufa2/Slc25a11/Atp5f1e/Slc25a5/Slc35c2/Slc12a4/Slc2a4/Slc22a5/Atp6v1e1/Slc6a8/Slc35e1/Atp2b1/Slc1a4/Ndufs7/Slc22a4/Slc25a19/Slc46a1/Slc4a7/Ndufs4/Slc25a30/Ank/Slc38a4/Cyc1/Abcc5/Slc11a2/Slc26a6/Ndufv2/Slc16a3/Atp5f1b/Slco3a1/Slco5a1/Ndufs1/Slc9a2/Bcs1l/Abcb6/Ndufa10/Slc45a3/Atp1b1/Slc4a10/Abca2/Slc25a12/Cybrd1/Slc23a2/Anxa5/Slc35a3/Abcd3/Slc35a1/Slc44a1/Slc30a2/Abcb8/Slc30a9/Abcb9/Slc46a3/Slc41a3/Abcb7/Atp2b3/Abcd1/Slc25a15/Slc25a4/Abcb10/Slc37a4/Slc16a1/Ndufb7/Slc2a13/Slc2a12/Ndufv1/Atp6v0a2/Uqcrfs1/Mfsd4b1/Atp6v0a4/Atp5mg/Ipo8/Slc16a6/Abcb4/Slc15a5/Slc25a26/Slc35e4/Abcd2/Slc44a2/Ndufs8/Slc9a6/Slc4a4/Slc25a3/Uqcrh/Slc25a16/Cox7a1/Slc5a3/Tomm20",101
"GO:0042578","GO:0042578","phosphoric ester hydrolase activity","89/2933","334/17763",1.5417531591967e-06,0.000101413096693827,9.21445455379547e-05,"Hddc2/Ppm1j/Mdp1/Timm50/Dusp3/Ppp2r1a/Ppp2cb/Ptprs/Pten/Mpped2/Nt5c3b/Dusp14/Ptprk/Dusp6/Pde7b/Tns3/Sgpp1/Plpp1/Ppp3cb/Mtmr6/Ephx2/Tab1/Enpp2/Pde10a/Pfkfb1/Hdhd2/Pfkfb4/Plcd4/Ppm1f/Pde6d/Pfkfb2/Dusp23/Bpnt1/Ppp2r5a/Dusp19/Gnas/Impa1/Car3/Ppm1l/Ppa2/Pip4p2/Rngtt/Aptx/Alpl/Ptp4a2/Smpdl3b/Pank4/Enoph1/Psph/Pgam5/Pon3/Ppm1n/Pde4a/Cdc25a/Nt5m/Inppl1/Gde1/Ppp3r1/Inpp5j/Apex1/Phpt1/Smpd1/Enpp1/Ppm1k/Dusp8/Tigar/Enpp6/Fig4/Pptc7/Ptpn3/Dusp10/Ptpa/Ublcp1/Pgp/Ptpn11/Plppr4/Dusp28/Dusp18/Pdp1/Plpp7/Nt5c1a/Epm2a/Ptpmt1/Dusp29/Bpnt2/Dusp22/Nt5dc2/Pde11a/Pdxp",89
