"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","GO:0003735","structural constituent of ribosome","81/2715","167/17763",3.61280211557079e-24,4.17278644348426e-21,3.54054607325937e-21,"Rpl13/Rps11/Rpl8/Rps9/Rplp1/Rps18/Rpl10/Rps15a/Rps25/Rps5/Rpl19/Ubb/Rps27a/Rps24/Rps26/Rplp2/Rpl14/Rps3a1/Rps20/Rps6/Rpl22/Rpl6/Rpl28/Rps3/Rps4x/Rpl4/Rpsa/Rps29/Rps16/Rpl10a/Fau/Rpl12/Rps21/Rps19/Rpl21/Rpl37/Rpl7/Rps2/Rpl18a/Rpl37a/Rpl27a/Rpl9/Rps8/Rpl29/Rps23/Rps10/Rpl38/Rpl32/Rpl36/Rpl23a/Rpl5/Rpl30/Rpl18/Rpl11/Rpl3/Rpl35a/Rpl26/Rps7/Rps17/Rps12/Rpl34/Rpl17/Rpl7a/Rpl35/Rpl27/Rps15/Rplp0/Rps28/Uba52rt/Rpl23/Rpl37rt/Rpl31/Rpl13a/Rpl35rt/Rpl36a/Rps6-ps4/Rps27/Rps13/Rpl6l/Rpl41/Rpl24",81
"GO:0003729","GO:0003729","mRNA binding","114/2715","315/17763",3.01666718724937e-20,1.74212530063651e-17,1.47816692175219e-17,"Fmr1/Celf2/Supt5/Calr/Rsl1d1/Tpr/Khsrp/Hnrnpa0/Carhsp1/Rbfox1/Nxf1/Rbm25/Rps5/Slpi/Fxr2/Shmt1/Taf15/Ddx5/Unk/Ncbp3/Luc7l3/Zfp36l1/Luc7l/Etf1/Nelfe/Sf1/Eif3a/Rps26/Tyms/Sf3b1/Ncl/Copa/Exosc8/Fubp1/Rps3a1/Ptbp2/Ptbp3/Rps6/Pum1/Ybx1/Eif4g3/Rpl6/Luc7l2/Zfp638/Ybx3/Nova2/Rps3/Fus/Rnf40/Rbmx/Mecp2/Rbpms/Nudt16/Rbm5/Atxn2l/Piwil2/Rnps1/Cpsf7/Secisbp2l/Ythdc1/Upf3b/Larp1/Thoc2/Eef1a1/Nsrp1/Ythdf1/Shfl/Edc3/Srrm2/Stau1/Hnrnpu/Aqr/Rc3h1/Spen/Pcf11/Tardbp/Dcp1b/Poldip3/Gnl3/Rpl7/Rps2/Zfp36/Cirbp/Zfp36l2/Scaf8/Hnrnpa1/Khnyn/Rbm15/Mex3d/Ddx17/Cpsf6/Pcbp2/Rpl5/Rpl30/Hnrnpa3/Hnrnpm/Rpl26/Rps7/Rpl35/Snrnp70/Nup98/Hnrnpr/Xpo5/Dazap1/Tut1/Rbm15b/Rpl13a/Eif2s2/Casc3/Rps6-ps4/Rps13/Peg10/Thoc2l/Rpl24",114
"GO:0061629","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","109/2715","367/17763",1.19392721507771e-12,4.5966197780492e-10,3.90016223592053e-10,"Sp1/Nr1h3/Daxx/Prpf6/Med25/Klf4/Keap1/Brd8/Calr/Stat3/Gtf2h1/Arid1a/Hdac5/Prox1/Faf1/Tbp/Gata2/Arnt/Nfe2l2/Rxra/Ncor1/Tbx3/Cdk5rap3/Sirt1/Lpin1/Ddx5/Stat5b/Nfkbia/Snw1/Hif1a/Mta1/Rb1/Mtdh/Crebbp/Hsf1/Gsk3b/Ets2/Akap8/Sting1/Tcerg1/Smad4/Uhrf2/Rela/Tcf7l2/Pdcd11/Uimc1/Sox17/Rnf25/Notch2/Kdm4c/Rad23b/Tal1/Rest/Foxp2/Anxa4/Foxp1/Xpc/Gabarapl1/Tbx6/Fus/Kat8/Tacc2/Taf1/Bbs2/Wwp2/Smarca4/Nfatc1/Ctdp1/Ipo13/Gtf2a2/Kdm1a/Arid5a/Smarce1/Taf4/Rbpj/Dusp26/Ncoa7/Cited2/Lats1/Spen/Pik3r1/Setd1a/Atf4/Asxl1/Thrap3/Pou4f1/Tob2/Bex1/Foxc1/Jun/Kdm3a/Ubxn7/Ep300/Per2/Lrif1/Cebpb/Kdm5d/Npm1/Bcas3/Nr1h2/Chd4/Tacc1/Hmgb1/Ddrgk1/Cry2/Srarp/Mta2/Cpne1/Med12",109
"GO:0019843","GO:0019843","rRNA binding","35/2715","74/17763",7.52291907817697e-11,2.1722428838236e-08,1.84311517415336e-08,"Lipe/Rps11/Rpl8/Ppan/Rps9/Rps18/Rps5/Rpl19/Ddx21/Sbds/Ncl/Rpf1/Rpl6/Rps3/Rps4x/Rpl4/Tlr13/Eef2/Rpl12/Rpl37/Rpl7/Cirbp/Rpl9/Npm1/Rpl23a/Rpl5/Rpl11/Rpl3/Rpl17/Hmgb1/Rnasel/Rplp0/Rpl23/Rpl37rt/Rps13",35
"GO:0003712","GO:0003712","transcription coregulator activity","125/2715","474/17763",1.97246954306375e-10,4.55640464447725e-08,3.86604030440494e-08,"Trim25/Kat2b/Daxx/Prpf6/Brd8/Pias4/Ezh1/Zmiz1/Tle1/Hipk1/Hdac5/Ewsr1/Mrtfb/Med15/Actn1/Sqstm1/Med13l/Ncor1/Arid5b/Sirt1/Btg2/Lpin1/Taf15/Ddx5/Kat2a/Snw1/Mta1/Jmy/Kat6b/Nipbl/Mtdh/Crebbp/Setd4/Smarcd1/Calcoco1/Gps2/Prkn/Brd4/Lpin2/Cebpz/Tcerg1/Kat5/Tbl1x/Pa2g4/Ptpn14/Notch1/Helz2/Tbl1xr1/Supt20/Fhl5/Akirin2/Kdm4c/Mier1/Kmt2e/N4bp2l2/Xpc/Atf7ip/Uri1/Fus/Kat8/Pir/Mecp2/Kat6a/Rbpms/Cdyl2/Smarca4/Mlip/Zxdc/Nfkbiz/Phf24/Wnt4/Kdm1a/Ddx1/Fgf2/Arid5a/Bclaf1/Phf12/Phf2/Kmt2c/Bcl9/Kdm3b/Zfp653/Kat7/Hnrnpu/Zmynd8/Ncoa7/Rere/Cited2/Mybbp1a/Spen/Trim62/Phf8/Cir1/Zfp451/Mideas/Asxl1/Muc1/Thrap3/Med26/Trrap/Kmt2d/Tob2/Sertad2/Maml1/Trim30b/Yap1/Bcl3/Kdm3a/Gon4l/Hmgb2/Ep300/Ddx17/Per2/Npm1/Rrp1b/Maml3/Naca/Mysm1/Nup98/Chd4/Tacc1/Hmgb1/Mta2/Ifi204/Med12",125
"GO:0043021","GO:0043021","ribonucleoprotein complex binding","58/2715","185/17763",2.68354933212676e-08,5.16583246434402e-06,4.38313057580705e-06,"Slfn4/Fmr1/Snd1/Prpf6/Rplp1/Slfn3/Nopchap1/Rack1/Ddx5/Unk/Srp68/Nemf/Gtpbp4/Pim1/Bag6/Sbds/Rplp2/Dnajc1/Itch/Rbm39/Mtor/Dnajc2/Malsu1/Ybx3/Eif3c/Nomo1/Rbm3/Srpr/Rpsa/Gtpbp6/Piwil2/Eef2/Secisbp2l/Eif1/Larp1/Letm2/Efl1/Ythdf1/Shfl/Hnrnpu/Ppp1ca/Zfp598/Gcn1/Dhx29/Rictor/Eif3k/Ddx17/Cpsf6/Npm1/Eif1a/Abce1/Rpl35/Snrnp70/Rnasel/Xpo5/Slfn2/Rpl35rt/Slfn1",58
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","88/2715","335/17763",1.14649876724223e-07,1.74167333564051e-05,1.47778343630104e-05,"Ngfr/Tubb5/Daxx/Prkar2b/Cdkn1b/Calr/Pias4/Tgfbr1/Faf1/Sqstm1/Nfe2l2/Gabarap/Cdk5rap3/H13/Ubb/Patz1/Rps27a/Xbp1/Rffl/Per1/Nfkbia/Hif1a/Ripk1/Slf1/Clu/Rb1/Myc/Gsk3b/Tuba1b/Cdkn1a/Prkn/Hsp90ab1/Cbs/Washc1/Sting1/Bag6/Sncaip/Rela/Sorbs1/Pa2g4/Hgs/Psmd1/Ifi211/Ube2l6/Itch/Map1lc3a/Ube2j1/Tnfrsf1b/Abcb1b/Cul1/Gabarapl1/Det1/Rnf40/Cul4b/Cul4a/Smad1/Map1lc3b/Kdm4a/Cct2/Mid1/Gpi1/Fau/Txnip/Nploc4/Ambra1/Pik3r1/Asb4/Sipa1l1/Foxo1/Rnf31/Wbp1l/Fzd4/Jun/Ubxn7/Ifi205/Cebpb/Pcbp2/Zfp746/Rpl5/Rpl11/Arrb2/Erbb2/Ddrgk1/Aup1/Rpl23/Ifi204/Casc3/Shprh",88
"GO:0016922","GO:0016922","nuclear receptor binding","49/2715","152/17763",1.20635382555187e-07,1.74167333564051e-05,1.47778343630104e-05,"Nr1h3/Daxx/Prpf6/Med25/Brd8/Calr/Stat3/Gtf2h1/Arid1a/Prox1/Rxra/Ncor1/Sirt1/Ddx5/Stat5b/Snw1/Hif1a/Ets2/Tcf7l2/Uimc1/Kdm4c/Foxp2/Foxp1/Fus/Tacc2/Taf1/Smarca4/Ipo13/Kdm1a/Arid5a/Smarce1/Ncoa7/Lats1/Pik3r1/Asxl1/Thrap3/Tob2/Kdm3a/Ep300/Per2/Lrif1/Cebpb/Kdm5d/Bcas3/Nr1h2/Tacc1/Cry2/Srarp/Med12",49
"GO:0140030","GO:0140030","modification-dependent protein binding","55/2715","180/17763",1.58964873016309e-07,2.0400492037093e-05,1.73095083951092e-05,"Fmr1/Pwp1/Kmt2a/Daxx/Hdgfl2/Rad23a/Ubqln1/Psmd4/Sqstm1/Sirt1/Ascc2/Spin1/Brd4/Phf1/Brd2/Bag6/Atrip/Hgs/Uimc1/Ing5/Kdm4c/Rad23b/Eps15/Kmt2e/Dnajc2/Lrwd1/Abraxas2/Zranb1/Taf1/Cdyl2/Smarca4/Phip/Kdm4a/Pygo1/Phf2/Otud7b/Mindy1/Zmynd8/Nploc4/Bptf/Phf8/Wdr81/Ing1/Rnf31/Ubqln2/Xrcc1/Cbx7/Chd8/Zzef1/Rnf169/Tnip2/Ing2/Ank3/Phf20l1/Faap20",55
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","83/2715","315/17763",2.26289064865406e-07,2.61363869919544e-05,2.21763283568098e-05,"Ngfr/Tubb5/Daxx/Prkar2b/Cdkn1b/Calr/Pias4/Tgfbr1/Faf1/Sqstm1/Nfe2l2/Gabarap/H13/Ubb/Patz1/Rps27a/Xbp1/Rffl/Per1/Nfkbia/Hif1a/Ripk1/Slf1/Clu/Rb1/Myc/Gsk3b/Tuba1b/Cdkn1a/Prkn/Hsp90ab1/Cbs/Washc1/Sting1/Bag6/Sncaip/Rela/Sorbs1/Pa2g4/Psmd1/Ifi211/Ube2l6/Map1lc3a/Ube2j1/Tnfrsf1b/Abcb1b/Cul1/Gabarapl1/Det1/Rnf40/Cul4b/Cul4a/Smad1/Map1lc3b/Kdm4a/Cct2/Mid1/Gpi1/Fau/Txnip/Nploc4/Ambra1/Pik3r1/Asb4/Sipa1l1/Foxo1/Rnf31/Wbp1l/Fzd4/Jun/Ubxn7/Ifi205/Pcbp2/Zfp746/Rpl5/Rpl11/Arrb2/Erbb2/Aup1/Rpl23/Ifi204/Casc3/Shprh",83
