"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu00190","Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation - Mus musculus (house mouse)","86/1397","116/7573",1.45336805069834e-39,4.91238401136039e-37,4.13062498619528e-37,"12858/66925/66108/11950/69875/68198/66043/68349/11951/67680/84682/226646/17991/12864/67126/54405/12867/228033/54411/11973/66414/67895/75406/66594/69802/67530/66945/407785/17993/66218/67130/66445/68194/11957/28080/68202/78330/72900/20463/67264/11947/11946/12869/22273/11949/227197/66495/67273/68375/66046/74776/595136/17992/68197/70316/67003/104130/66142/12857/12866/66916/71679/66091/67184/110323/66377/17995/21871/66694/140494/57423/27425/68342/407790/12861/70383/22272/11958/66052/66152/225887/12859/13063/66576/230075/12865",86
"mmu04714","Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis - Mus musculus (house mouse)","116/1397","214/7573",8.55123518566945e-33,1.44515874637814e-30,1.21517552638461e-30,"12858/66925/66108/11950/69875/68198/66043/68349/11951/241113/67680/84682/226646/17991/12864/67126/54405/52469/12867/228033/14081/66414/75406/66594/69802/214663/67530/66945/407785/17993/66218/67130/66445/68194/11957/28080/11512/66379/68202/20112/78330/73694/72900/56716/20662/20463/67264/11947/11946/12869/15461/22273/11949/227197/66495/76178/67273/68375/26427/69702/69487/14683/66046/68493/12896/595136/66993/17992/16653/29861/68197/70316/67003/104130/66142/50790/11513/12857/12866/57279/66916/71679/20663/66091/67184/110323/66377/17995/108097/66694/57423/27425/68342/407790/12861/70383/22272/69893/76947/11958/67892/19091/26416/66052/66152/225887/14784/12859/11465/66576/19082/75597/66706/230075/12865/208501",116
"mmu05415","Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy - Mus musculus (house mouse)","107/1397","189/7573",1.55883602935279e-32,1.75628859307081e-30,1.4767920278079e-30,"12858/66925/66108/11950/12842/69875/68198/66043/14936/68349/11951/22335/67680/84682/226646/19211/17991/12864/67126/11740/54405/12867/20528/228033/66414/75406/66594/26420/22333/67530/66945/407785/68263/17993/22334/105675/66218/19013/67130/66445/68194/11957/28080/68202/55951/78330/72900/20463/17126/12322/67264/11947/11946/12869/22273/11949/227197/66495/12825/67273/11545/70456/68375/66046/12896/595136/18710/17992/12843/68197/70316/67003/104130/66142/18597/11739/17390/12857/12866/17127/74769/66916/71679/66091/67184/110323/66377/17995/66694/110854/18707/68342/407790/12861/22272/26414/18750/26416/14433/12323/66052/66152/225887/12859/66576/230075/12865",107
"mmu05208","Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)","106/1397","206/7573",1.75212358746393e-27,1.48054443140702e-25,1.24492991740858e-25,"12858/66925/66108/11950/69875/68198/66043/57344/68349/11951/20656/56615/22335/67680/84682/226646/19211/17991/12864/67126/11740/54405/12867/228033/66414/75406/66594/26420/22333/67530/66945/407785/17993/22334/105675/13850/66218/67130/66445/68194/11957/28080/68202/171429/22339/78330/72900/20662/20463/14873/67264/11947/11946/12869/15461/22273/11949/227197/66495/67273/11352/68375/20779/66046/595136/18710/17992/16653/68197/70316/67003/104130/66142/11739/12857/12866/14860/74769/26398/66916/71679/20663/26396/66091/67184/110323/66377/17995/66694/18707/68342/407790/12861/19247/22272/26414/26416/66052/66152/225887/14784/12859/26413/66576/230075/12865",106
"mmu04932","Human Diseases","Endocrine and metabolic disease","mmu04932","Non-alcoholic fatty liver disease - Mus musculus (house mouse)","79/1397","147/7573",2.80043703625905e-22,1.89309543651112e-20,1.59182736797883e-20,"12858/66925/66108/69875/68198/58805/68349/241113/12540/67680/84682/226646/17991/12864/54405/12867/66414/75406/66594/26420/67530/66945/407785/17993/66218/19013/67130/66445/68194/68202/78330/72900/20463/12369/67264/13198/12869/22273/227197/66495/67273/68375/66046/595136/18710/17992/68197/70316/67003/104130/66142/12857/12866/74769/66916/66091/67184/110323/66377/17995/108097/66694/18707/68342/407790/12861/22272/26414/26416/66052/16846/66152/225887/12859/13063/66576/19082/230075/12865",79
"mmu05012","Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease - Mus musculus (house mouse)","101/1397","242/7573",1.06630433499621e-17,6.006847753812e-16,5.05091527103469e-16,"12858/66925/66108/11950/12313/69875/68198/66043/56551/68349/11951/22335/67680/84682/226646/17991/12864/67126/11740/54405/12867/228033/12315/66414/75406/66594/26420/22333/67530/66945/407785/17993/22334/105675/66218/67130/66445/68194/11957/28080/18174/68202/78330/72900/20463/12322/16594/67264/11947/13198/11946/12869/22273/11949/227197/66495/67273/68375/14683/67414/66046/595136/170731/67151/17992/68197/70316/67003/104130/66142/11739/12857/12866/66916/71679/66091/67184/12314/110323/66377/17995/66694/68342/407790/12861/22272/26414/106947/30791/12323/66052/66152/225887/12859/13063/66576/64704/230075/18951/22142/12865",101
"mmu05020","Human Diseases","Neurodegenerative disease","mmu05020","Prion disease - Mus musculus (house mouse)","100/1397","247/7573",1.8782127484889e-16,9.0690844141321e-15,7.62582619687221e-15,"12390/12858/66925/66108/11950/69875/68198/66043/68349/11951/22335/67680/84682/226646/17991/12864/67126/11740/54405/12867/228033/66414/75406/66594/26420/22333/67530/66945/407785/17993/22334/19056/105675/66218/67130/66445/68194/11957/28080/68202/78330/72900/20463/16594/67264/11947/13198/11946/12869/22273/11949/227197/66495/67273/226519/68375/26427/66046/595136/18710/67151/17992/68197/70316/67003/104130/66142/11739/12857/12866/74769/66916/19058/71679/66091/67184/110323/66377/17995/66694/18707/68342/407790/12861/22272/26414/26416/66052/66152/225887/12859/12391/26413/13063/66576/230075/22142/12865/19122/109828",100
"mmu05010","Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease - Mus musculus (house mouse)","123/1397","359/7573",1.81894797005853e-13,7.6850551734973e-12,6.46205199889215e-12,"12858/216795/66925/66108/11950/12313/69875/68198/66043/29869/68349/11951/12387/22335/67680/84682/226646/17991/12864/22411/67126/11740/54405/12867/228033/12315/66414/75406/66594/26420/22333/68585/67530/66945/407785/17993/22334/19056/105675/22418/66218/67130/66445/68194/11957/28080/18174/68202/78330/19106/72900/20463/16594/12369/67264/11947/13198/11946/12869/15461/22273/11949/227197/66495/67273/68375/66046/595136/18710/67151/17992/22419/16974/16653/68197/70316/67003/104130/14082/66142/11739/12857/23821/12866/208117/74769/19225/66916/19058/71679/26396/66091/67184/12314/110323/66377/17995/66694/18707/68342/407790/56175/12861/52639/14362/22272/26414/106947/212398/14371/30791/11491/14433/66052/66152/225887/12859/26413/13063/66576/230075/22142/12865",123
"mmu05016","Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease - Mus musculus (house mouse)","101/1397","281/7573",1.12548828313356e-12,4.22683377443491e-11,3.55417352568491e-11,"12858/66925/66108/11950/53623/69875/68198/66043/21780/29869/68349/11951/20656/232910/22335/67680/84682/226646/17991/12864/67126/11740/54405/12867/228033/66414/75406/66594/26420/22333/13385/67530/66945/407785/17993/22334/105675/66218/67130/66445/68194/11957/28080/68202/78330/72900/20463/69241/16594/67264/11947/11946/12869/22273/11949/227197/66495/67273/68375/26427/66046/53598/595136/67151/17992/68197/70316/67003/104130/66142/11739/12857/12866/66916/71679/66091/67184/110323/66377/17995/66694/66491/68342/407790/269881/12861/52639/105000/22272/26414/66052/66152/225887/11771/12859/13063/66576/230075/67710/22142/12865",101
"mmu04723","Organismal Systems","Nervous system","mmu04723","Retrograde endocannabinoid signaling - Mus musculus (house mouse)","57/1397","133/7573",4.61307197489734e-11,1.5592183275153e-09,1.31108361391819e-09,"66108/14405/53623/69875/68198/68349/226646/17991/54405/14816/66414/75406/26420/14706/407785/17993/66218/67130/68194/11512/68202/14695/78330/72900/67264/227197/66495/67273/68375/66046/595136/17992/68197/70316/104130/11513/14697/19225/66066/66916/12286/66091/269060/67184/14701/66377/17995/14700/68342/407790/26414/18750/26416/225887/26413/14707/230075",57
