"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05171","Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)","110/1364","223/7573",2.18932039944347e-27,7.26854372615232e-25,6.45273380888602e-25,"270106/22371/27207/26961/20848/76846/56040/20084/110954/267019/75617/20103/18803/19921/78294/18035/16195/12274/12266/72512/19697/20088/27370/67186/67115/20344/16176/16194/20091/67427/20104/19934/19988/21937/19943/18036/27050/20102/16179/67891/17874/16785/246727/216799/20090/12259/12262/12260/20055/19896/14109/269261/66481/21898/74145/20085/18708/19933/67281/17392/19989/16898/76808/19981/26451/20005/20116/19944/12273/66475/67097/16476/50909/67671/19951/54217/268449/100503670/19946/19899/67025/14131/266632/27367/57808/19941/20115/11537/20068/20042/68436/319195/27176/66489/19942/20054/11837/54127/65019/100502825/12268/114641/22121/19982/100040298/14962/57294/68052/67945/68193",110
"mmu03010","Genetic Information Processing","Translation","mmu03010","Ribosome - Mus musculus (house mouse)","77/1364","138/7573",8.57406887436995e-24,1.42329543314541e-21,1.26354699201241e-21,"270106/27207/26961/76846/56040/20084/110954/267019/75617/20103/19921/78294/20088/27370/67186/67115/20091/67427/20104/19934/19988/19943/27050/20102/67891/16785/20090/20055/19896/14109/269261/66481/20085/19933/67281/19989/16898/76808/19981/26451/20005/20116/19944/66475/67097/67671/19951/54217/268449/100503670/19946/19899/67025/27367/57808/19941/20115/20068/20042/68436/319195/27176/66489/19942/20054/11837/54127/65019/100502825/114641/22121/19982/100040298/57294/68052/67945/68193",77
"mmu03040","Genetic Information Processing","Transcription","mmu03040","Spliceosome - Mus musculus (house mouse)","44/1364","128/7573",5.9876740783941e-06,0.00066263593134228,0.000588262716473806,"68879/74351/320632/67039/53817/67439/72047/13207/20624/66354/20384/212880/56215/54614/225160/56070/66810/28000/319322/81898/66642/66921/14105/68592/13204/101214/60321/233908/19655/78651/67958/101943/76938/331401/64340/20227/51810/11834/15382/229279/76936/20637/230596/100042165",44
"mmu04936","Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease - Mus musculus (house mouse)","40/1364","123/7573",6.6719888879682e-05,0.00553775077701361,0.00491620233850289,"11651/16172/11652/16803/23797/93759/107476/14245/11430/18035/19766/56637/11450/64898/12266/14102/19697/21416/13106/56752/16176/108079/11669/101214/68465/21937/50490/16179/117149/17874/12259/12262/12260/21898/100705/56458/56484/12273/266632/12268",40
"mmu05202","Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)","51/1364","173/7573",0.000131002598043146,0.00869857251006487,0.00772225841096438,"18053/20683/214162/107986/12576/14009/16001/12048/14030/12455/20181/14247/15081/17395/20185/17268/16009/70439/13207/17869/12394/12575/19697/68938/16178/13714/19126/16599/17355/14254/14011/16409/233908/17125/11796/21813/140780/80859/13197/22289/17392/56458/18627/12608/12018/17187/235320/22290/319151/319154/319149",51
"mmu04931","Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance - Mus musculus (house mouse)","35/1364","108/7573",0.000201660468346889,0.0111585459151945,0.00990612826967172,"11651/22259/12491/20848/11652/16337/23797/18035/110095/56637/19697/76055/18761/19246/74343/108079/56717/18762/21937/110651/26457/11606/210789/19268/108155/19045/18708/100705/56458/18754/244416/228966/12702/22260/53412",35
"mmu04140","Cellular Processes","Transport and catabolism","mmu04140","Autophagy - animal - Mus musculus (house mouse)","46/1364","160/7573",0.00051024662807606,0.0242002686458932,0.021484068550571,"11651/11652/52440/27103/16001/12048/13033/18412/16784/17966/56486/22187/23797/74747/78294/78943/15251/13039/69635/97998/18761/64930/80743/66734/56790/108079/19744/56717/74781/57436/97287/74244/67443/245860/353047/78610/54636/100502841/228361/76559/18708/217695/237782/15289/12176/19349",46
"mmu04330","Environmental Information Processing","Signal transduction","mmu04330","Notch signaling pathway - Mus musculus (house mouse)","22/1364","61/7573",0.000594503048616421,0.0246718765175815,0.0219027438963945,"18519/59287/74198/21885/18132/17305/19164/13543/14534/66354/12914/18128/16396/18129/16848/19664/56381/66935/103806/68318/328572/433586",22
"mmu04066","Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway - Mus musculus (house mouse)","33/1364","106/7573",0.000682634583605081,0.0251816313063207,0.0223552846092892,"11651/12576/20848/11652/15368/16001/16337/21687/11863/18803/23797/15979/17347/15251/56421/13614/12914/12575/19697/170768/16194/20104/17346/56717/14254/13685/22041/112407/15275/21898/18708/328572/13866",33
"mmu04910","Organismal Systems","Endocrine system","mmu04910","Insulin signaling pathway - Mus musculus (house mouse)","39/1364","134/7573",0.0010235223733035,0.0339809427936761,0.0301669752131557,"11836/11651/109880/19088/16890/11652/16337/23797/17347/107476/110095/14120/208650/56637/20411/19085/64930/19246/20104/108079/17346/19744/56717/18762/110094/13685/19268/12402/15275/107746/19045/18708/100705/56458/244416/228966/12702/14251/53412",39
"mmu04216","Cellular Processes","Cell growth and death","mmu04216","Ferroptosis - Mus musculus (house mouse)","15/1364","39/7573",0.00207402698216336,0.0625979052798395,0.0555720148330852,"12870/15368/17254/213053/14319/20229/53945/66734/14630/74244/67443/22041/14325/18521/625249",15
"mmu03018","Genetic Information Processing","Folding, sorting and degradation","mmu03018","RNA degradation - Mus musculus (house mouse)","24/1364","75/7573",0.00233976070308639,0.0647333794520567,0.0574678067424727,"103135/72198/50912/72068/12227/56421/74108/24128/69639/72587/78651/24127/75686/72662/66583/232791/319885/12226/53621/353190/108077/319618/57259/27998",24
"mmu05212","Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer - Mus musculus (house mouse)","24/1364","76/7573",0.00284835285379695,0.067546653390042,0.0599653232378305,"11836/11651/19353/107986/109880/20848/11652/21812/12048/23797/19645/12575/19765/17128/19697/19730/18805/56717/21813/19354/13197/18708/12018/13866",24
"mmu05220","Human Diseases","Cancer: specific types","mmu05220","Chronic myeloid leukemia - Mus musculus (house mouse)","24/1364","76/7573",0.00284835285379695,0.067546653390042,0.0599653232378305,"11836/11651/107986/109880/12576/11652/21812/12048/110279/23797/20851/18035/19645/17869/12394/12575/17128/19697/14013/21813/12402/13197/18708/12018",24
"mmu05418","Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis - Mus musculus (house mouse)","39/1364","142/7573",0.00326647434784901,0.0703079102209502,0.0624166609444073,"11651/19353/50868/68312/11652/59004/15368/18412/18024/17969/17395/23797/16416/18613/13614/13039/12159/15516/19697/14859/16177/16178/20339/16176/108079/18762/21937/19354/16399/15894/14863/18708/11480/12167/16476/16598/14862/14870/11481",39
"mmu04919","Organismal Systems","Endocrine system","mmu04919","Thyroid hormone signaling pathway - Mus musculus (house mouse)","34/1364","120/7573",0.0033883330226964,0.0703079102209502,0.0624166609444073,"18519/11651/11652/18132/20181/18803/76199/20185/23797/16416/53313/14534/72469/15251/56421/12159/17869/12914/56637/18797/18128/18129/20544/19744/56717/11937/210789/22417/18798/18708/56458/140781/328572/59024",34
"mmu04933","Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","29/1364","100/7573",0.00454271310901486,0.0887165148348785,0.0787591127259543,"11651/19353/12576/20848/11652/21812/18803/23797/20851/72469/13614/18712/17128/19697/18797/20339/16176/18762/50490/14205/11606/21813/18018/15894/18798/18708/56458/18754/16476",29
"mmu05225","Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma - Mus musculus (house mouse)","45/1364","173/7573",0.00513113721949111,0.0946409753817249,0.0840186211378661,"11836/11651/107986/109880/50868/68312/11652/15368/16001/21812/12048/93760/18024/18803/23797/13543/19645/17869/56637/83797/12575/17128/93687/16973/21416/68094/14859/22414/56717/14388/20586/21813/77044/13197/22417/57376/14863/14369/18708/16002/14366/12018/14862/14870/239985",45
"mmu04137","Cellular Processes","Transport and catabolism","mmu04137","Mitophagy - animal - Mus musculus (house mouse)","28/1364","97/7573",0.00562053851708456,0.0957594917358706,0.0850115969754083,"20683/12034/52440/12048/18412/17966/56486/22187/66687/78294/15251/12177/50873/19697/59026/66734/57436/67443/245860/20437/233204/17684/228361/11911/56484/16476/12176/19349",28
"mmu05142","Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease - Mus musculus (house mouse)","29/1364","102/7573",0.00616788506226116,0.0957594917358706,0.0850115969754083,"14679/11651/12317/11652/21812/23797/15979/432530/18035/12062/12266/14102/19697/18797/16176/21937/16179/21813/17874/12259/12262/12260/21898/18798/18708/52432/16476/266632/385643",29
"mmu05017","Human Diseases","Neurodegenerative disease","mmu05017","Spinocerebellar ataxia - Mus musculus (house mouse)","37/1364","138/7573",0.00628994831959834,0.0957594917358706,0.0850115969754083,"20683/11651/19182/11652/71722/19185/21762/21374/19170/22123/69077/23797/22433/78943/53313/19179/81601/18797/70247/26444/80912/19181/56717/74781/16439/57296/20190/11937/19883/233871/56436/19664/18798/228361/76559/18708/16440",37
