"","Name","Chromosome","Type","Start","End","Strand","Alias","Derivation","pvalue","padj","ATG7.vs.GFP_LFC","ATG7.vs.GFP_pvalue","ATG7.vs.GFP_FDR","ATG14.vs.GFP_LFC","ATG14.vs.GFP_pvalue","ATG14.vs.GFP_FDR","ATG7.vs.ATG14_LFC","ATG7.vs.ATG14_pvalue","ATG7.vs.ATG14_FDR","cluster"
"MIMAT0000121","mmu-let-7g-5p","chr9","miRNA",106178846,106178867,"+","MIMAT0000121","MI0000137",0.369753703629669,0.514536780352129,-0.230669490689871,0.176719957862331,0.45625880029911,-0.0459570539025626,0.78923700495159,0.900825784571995,-0.265586367444812,0.278535840709306,0.428215785102481,NA
"MIMAT0000122","mmu-let-7i-5p","chr10","miRNA",122985698,122985719,"-","MIMAT0000122","MI0000138",0.519975853511582,0.653003927923604,0.153110379565734,0.266708931856725,0.59485866476945,0.105772470143955,0.413185231044624,0.640787783923781,0.0433465252143562,0.770007540400785,0.844996398254543,NA
"MIMAT0000123","mmu-miR-1a-3p","chr18","miRNA",10785485,10785506,"-","MIMAT0000123","MI0000652",6.00809767878078e-114,2.77574112759672e-111,0.651748887096637,0.00596594092000873,0.0445875584548021,6.9352325734677,1.34636557611856e-106,5.97786315796639e-104,-6.05406155587115,1.25603009219267e-86,5.80285902593014e-84,1
"MIMAT0000124","mmu-miR-15b-5p","chr3","miRNA",69009775,69009796,"+","MIMAT0000124","MI0000140",0.0884006958635848,0.178345508685485,-0.406916648795681,0.0274557848031628,0.146479570183544,-0.193445132475382,0.260962460346867,0.467386707477475,-0.221130962739494,0.279835029645779,0.428215785102481,NA
"MIMAT0000125","mmu-miR-23b-3p","chr13","miRNA",63300529,63300549,"+","MIMAT0000125","MI0000141",3.25445627528046e-10,3.34124177595461e-09,0.0659387973456491,0.622613530273056,0.861147285377668,-1.34039472516876,4.0518465128013e-09,7.49591604868241e-08,1.48774422684705,1.83886389354728e-10,2.57440945096619e-09,2
"MIMAT0000126","mmu-miR-27b-3p","chr13","miRNA",63300760,63300780,"+","MIMAT0000126","MI0000142",0.216118219897088,0.347897622273361,-0.146925769812765,0.34162776857933,0.661490874203409,-0.404506252261888,0.0808484821401593,0.206303023392131,0.173422356192289,0.426708822376084,0.58194090084903,NA
"MIMAT0000127","mmu-miR-29b-3p","chr1","miRNA",195037091,195037113,"+","MIMAT0000127","MI0000712",0.144107564593653,0.257884378176967,-0.281659297224497,0.0705129702951514,0.261204568223778,-0.261450416337983,0.128437540266992,0.28656416019369,-0.0444741338069915,0.774105376666891,0.845587898721137,NA
"MIMAT0000128","mmu-miR-30a-5p","chr1","miRNA",23272274,23272295,"+","MIMAT0000128","MI0000144",1.05416984642655e-06,7.0583546238995e-06,-0.611389699848076,0.00499913016610697,0.038719297878636,0.632514693850192,0.0117924364785712,0.0459284368112775,-1.44753734411608,1.04784687535091e-07,9.68210512824239e-07,1
"MIMAT0000129","mmu-miR-30a-3p","chr1","miRNA",23272315,23272336,"+","MIMAT0000129","MI0000144",2.1880070319406e-05,0.000113579690871523,-1.14175774545071,1.47152957831795e-05,0.000232174666801277,-0.0222901598496748,0.890328055504267,0.948491993050788,-1.21621095843583,2.8075460444479e-05,0.000147396167333515,4
"MIMAT0000130","mmu-miR-30b-5p","chr15","miRNA",68337469,68337490,"-","MIMAT0000130","MI0000145",0.464491826858054,0.610634193983844,0.0579975690971344,0.673877030315688,0.903445760626344,0.206488176119516,0.22488335091457,0.428533080712743,-0.146837127601506,0.42734729975179,0.58194090084903,NA
