Chromosome,Type,Start,End,Strand,ID,Alias,Name,Derivation
chr1,miRNA_primary_transcript,12425986,12426106,+,MI0021869,MI0021869,mmu-mir-6341,NA
chr1,miRNA,12426016,12426038,+,MIMAT0025084,MIMAT0025084,mmu-miR-6341,MI0021869
chr1,miRNA_primary_transcript,20679010,20679082,+,MI0000249,MI0000249,mmu-mir-206,NA
chr1,miRNA,20679017,20679039,+,MIMAT0017004,MIMAT0017004,mmu-miR-206-5p,MI0000249
chr1,miRNA,20679055,20679076,+,MIMAT0000239,MIMAT0000239,mmu-miR-206-3p,MI0000249
chr1,miRNA_primary_transcript,20682769,20682887,+,MI0000821,MI0000821,mmu-mir-133b,NA
chr1,miRNA,20682797,20682818,+,MIMAT0017083,MIMAT0017083,mmu-miR-133b-5p,MI0000821
chr1,miRNA,20682834,20682855,+,MIMAT0000769,MIMAT0000769,mmu-miR-133b-3p,MI0000821
chr1,miRNA_primary_transcript,23272269,23272339,+,MI0000144,MI0000144,mmu-mir-30a,NA
chr1,miRNA,23272274,23272295,+,MIMAT0000128,MIMAT0000128,mmu-miR-30a-5p,MI0000144
chr1,miRNA,23272315,23272336,+,MIMAT0000129,MIMAT0000129,mmu-miR-30a-3p,MI0000144
chr1,miRNA_primary_transcript,23291701,23291784,+,MI0000548,MI0000548,mmu-mir-30c-2,NA
chr1,miRNA,23291714,23291736,+,MIMAT0000514,MIMAT0000514,mmu-miR-30c-5p,MI0000548
chr1,miRNA,23291754,23291775,+,MIMAT0005438,MIMAT0005438,mmu-miR-30c-2-3p,MI0000548
chr1,miRNA_primary_transcript,29421488,29421612,+,MI0021870,MI0021870,mmu-mir-6342,NA
chr1,miRNA,29421552,29421573,+,MIMAT0025085,MIMAT0025085,mmu-miR-6342,MI0021870
chr1,miRNA_primary_transcript,34117359,34117431,+,MI0022743,MI0022743,mmu-mir-6896,NA
chr1,miRNA,34117364,34117385,+,MIMAT0027692,MIMAT0027692,mmu-miR-6896-5p,MI0022743
chr1,miRNA,34117408,34117429,+,MIMAT0027693,MIMAT0027693,mmu-miR-6896-3p,MI0022743
chr1,miRNA_primary_transcript,34433121,34433199,-,MI0018011,MI0018011,mmu-mir-5103,NA
chr1,miRNA,34433130,34433149,-,MIMAT0020610,MIMAT0020610,mmu-miR-5103,MI0018011
chr1,miRNA_primary_transcript,36144252,36144313,-,MI0022744,MI0022744,mmu-mir-6897,NA
chr1,miRNA,36144290,36144312,-,MIMAT0027694,MIMAT0027694,mmu-miR-6897-5p,MI0022744
chr1,miRNA,36144252,36144272,-,MIMAT0027695,MIMAT0027695,mmu-miR-6897-3p,MI0022744
chr1,miRNA_primary_transcript,36348682,36348758,-,MI0022745,MI0022745,mmu-mir-6898,NA
chr1,miRNA,36348732,36348753,-,MIMAT0027696,MIMAT0027696,mmu-miR-6898-5p,MI0022745
chr1,miRNA,36348688,36348708,-,MIMAT0027697,MIMAT0027697,mmu-miR-6898-3p,MI0022745
chr1,miRNA_primary_transcript,39186896,39186992,-,MI0021877,MI0021877,mmu-mir-6349,NA
chr1,miRNA,39186908,39186929,-,MIMAT0025092,MIMAT0025092,mmu-miR-6349,MI0021877
chr1,miRNA_primary_transcript,47467021,47467125,-,MI0021878,MI0021878,mmu-mir-6350,NA
chr1,miRNA,47467097,47467117,-,MIMAT0025093,MIMAT0025093,mmu-miR-6350,MI0021878
chr1,miRNA_primary_transcript,53849424,53849495,+,MI0025029,MI0025029,mmu-mir-7681,NA
chr1,miRNA,53849424,53849443,+,MIMAT0029882,MIMAT0029882,mmu-miR-7681-5p,MI0025029
chr1,miRNA,53849474,53849495,+,MIMAT0029883,MIMAT0029883,mmu-miR-7681-3p,MI0025029
chr1,miRNA_primary_transcript,64042438,64042501,-,MI0022746,MI0022746,mmu-mir-6899,NA
chr1,miRNA,64042476,64042496,-,MIMAT0027698,MIMAT0027698,mmu-miR-6899-5p,MI0022746
chr1,miRNA,64042438,64042460,-,MIMAT0027699,MIMAT0027699,mmu-miR-6899-3p,MI0022746
chr1,miRNA_primary_transcript,73855477,73855575,-,MI0021879,MI0021879,mmu-mir-6351,NA
chr1,miRNA,73855553,73855575,-,MIMAT0025094,MIMAT0025094,mmu-miR-6351,MI0021879
